frame.number,frame.time,wlan.sa,wlan.seq,frame.len,radiotap.dbm_antsignal
2341,"Jun 12, 2025 21:06:10.308588842 CEST",40:ee:dd:0e:38:54,1928,305,-66.0
684,"Jun 12, 2025 21:05:10.669726944 CEST",3a:07:16:cb:a7:f4,2584,384,-65.0
1378,"Jun 12, 2025 21:05:35.737089561 CEST",3a:07:16:cb:a7:f4,2788,384,-66.0
574,"Jun 12, 2025 21:05:06.285104849 CEST",40:ee:dd:0e:38:54,1278,305,-66.0
2255,"Jun 12, 2025 21:06:07.047009419 CEST",c4:ea:1d:53:75:c3,1900,243,-75.0
1012,"Jun 12, 2025 21:05:23.133134476 CEST",f2:42:89:7e:73:bd,2543,458,-70.0
1077,"Jun 12, 2025 21:05:25.415231173 CEST",3a:07:16:cb:a7:f4,2704,384,-64.0
1173,"Jun 12, 2025 21:05:28.565002174 CEST",40:ee:dd:0e:38:54,1504,305,-67.0
483,"Jun 12, 2025 21:05:03.296964527 CEST",3a:07:16:cb:a7:f4,2524,384,-65.0
1563,"Jun 12, 2025 21:05:42.912661957 CEST",40:ee:dd:0e:38:54,1649,305,-65.0
1341,"Jun 12, 2025 21:05:34.583545734 CEST",40:ee:dd:0e:38:54,1564,305,-65.0
430,"Jun 12, 2025 21:05:00.965818856 CEST",40:ee:dd:0e:38:54,1223,305,-66.0
1291,"Jun 12, 2025 21:05:32.576527243 CEST",40:ee:dd:0e:38:54,1544,305,-65.0
1465,"Jun 12, 2025 21:05:39.092022824 CEST",c4:ea:1d:53:75:c3,1565,243,-73.0
1407,"Jun 12, 2025 21:05:37.088766474 CEST",3a:07:16:cb:a7:f4,2799,384,-68.0
1560,"Jun 12, 2025 21:05:42.812330972 CEST",40:ee:dd:0e:38:54,1648,305,-65.0
117,"Jun 12, 2025 21:04:50.979913315 CEST",f2:42:89:7e:73:bd,2198,458,-67.0
200,"Jun 12, 2025 21:04:53.138432705 CEST",40:ee:dd:0e:38:54,1143,305,-66.0
2254,"Jun 12, 2025 21:06:06.996989162 CEST",40:ee:dd:0e:38:54,1894,305,-67.0
1573,"Jun 12, 2025 21:05:43.478486354 CEST",3a:07:16:cb:a7:f4,2851,384,-66.0
-2,synthetic,c4:ea:1d:53:75:c3,-1,-1,-74.46831919069665
1139,"Jun 12, 2025 21:05:27.558938554 CEST",40:ee:dd:0e:38:54,1494,305,-65.0
2557,"Jun 12, 2025 21:06:18.376219789 CEST",3a:07:16:cb:a7:f4,3135,384,-70.0
1629,"Jun 12, 2025 21:05:45.456105296 CEST",f2:42:89:7e:73:bd,2780,458,-70.0
116,"Jun 12, 2025 21:04:50.877523828 CEST",f2:42:89:7e:73:bd,2197,458,-68.0
1324,"Jun 12, 2025 21:05:33.881046275 CEST",40:ee:dd:0e:38:54,1557,305,-65.0
1182,"Jun 12, 2025 21:05:28.855852009 CEST",3a:07:16:cb:a7:f4,2732,384,-64.0
1917,"Jun 12, 2025 21:05:55.397797463 CEST",3a:07:16:cb:a7:f4,2948,384,-65.0
