frame.number,frame.time,wlan.sa,wlan.seq,frame.len,radiotap.dbm_antsignal
1469,"Jun 12, 2025 20:45:56.668489410 CEST",f2:42:89:7e:73:bd,2748,458,-70.0
180,"Jun 12, 2025 20:45:17.837238102 CEST",c4:ea:1d:53:75:c3,2890,243,-83.0
2185,"Jun 12, 2025 20:46:16.409632820 CEST",c4:ea:1d:53:75:c3,3594,243,-82.0
846,"Jun 12, 2025 20:45:38.748669019 CEST",f2:42:89:7e:73:bd,2567,458,-70.0
-2,synthetic,40:ee:dd:0e:38:54,-1,-1,-87.51518743879066
2214,"Jun 12, 2025 20:46:17.250626566 CEST",f2:42:89:7e:73:bd,2977,458,-70.0
1135,"Jun 12, 2025 20:45:46.838173138 CEST",f2:42:89:7e:73:bd,2651,458,-70.0
333,"Jun 12, 2025 20:45:24.311439396 CEST",f2:42:89:7e:73:bd,2425,458,-70.0
1095,"Jun 12, 2025 20:45:45.589905743 CEST",c4:ea:1d:53:75:c3,3232,243,-72.0
256,"Jun 12, 2025 20:45:22.364871190 CEST",f2:42:89:7e:73:bd,2405,458,-70.0
1012,"Jun 12, 2025 20:45:43.459012003 CEST",f2:42:89:7e:73:bd,2618,458,-71.0
1293,"Jun 12, 2025 20:45:51.958128127 CEST",f2:42:89:7e:73:bd,2702,458,-70.0
1019,"Jun 12, 2025 20:45:43.744282218 CEST",c4:ea:1d:53:75:c3,3205,243,-81.0
1148,"Jun 12, 2025 20:45:47.328232454 CEST",c4:ea:1d:53:75:c3,3250,243,-73.0
1967,"Jun 12, 2025 20:46:11.106692969 CEST",f2:42:89:7e:73:bd,2906,458,-69.0
136,"Jun 12, 2025 20:45:15.174884251 CEST",c4:ea:1d:53:75:c3,2863,243,-71.0
-2,synthetic,3a:07:16:cb:a7:f4,-1,-1,-83.84762612461476
2025,"Jun 12, 2025 20:46:12.540266261 CEST",f2:42:89:7e:73:bd,2926,458,-70.0
1854,"Jun 12, 2025 20:46:08.525568931 CEST",c4:ea:1d:53:75:c3,3492,243,-81.0
2471,"Jun 12, 2025 20:46:24.623361744 CEST",f2:42:89:7e:73:bd,3052,458,-70.0
1864,"Jun 12, 2025 20:46:08.853906773 CEST",f2:42:89:7e:73:bd,2881,458,-70.0
-2,synthetic,3a:07:16:cb:a7:f4,-1,-1,-80.92340044147397
1996,"Jun 12, 2025 20:46:11.721083039 CEST",f2:42:89:7e:73:bd,2918,458,-69.0
341,"Jun 12, 2025 20:45:24.617667932 CEST",f2:42:89:7e:73:bd,2428,458,-71.0
1741,"Jun 12, 2025 20:46:05.657795173 CEST",c4:ea:1d:53:75:c3,3459,243,-81.0
-2,synthetic,3a:07:16:cb:a7:f4,-1,-1,-82.41492527143052
1234,"Jun 12, 2025 20:45:49.990648603 CEST",c4:ea:1d:53:75:c3,3283,243,-73.0
491,"Jun 12, 2025 20:45:28.281975314 CEST",c4:ea:1d:53:75:c3,3011,243,-72.0
2030,"Jun 12, 2025 20:46:12.642660078 CEST",f2:42:89:7e:73:bd,2927,458,-70.0
2469,"Jun 12, 2025 20:46:24.520941108 CEST",f2:42:89:7e:73:bd,3051,458,-70.0
1758,"Jun 12, 2025 20:46:06.089143740 CEST",f2:42:89:7e:73:bd,2845,458,-70.0
2329,"Jun 12, 2025 20:46:20.505608712 CEST",c4:ea:1d:53:75:c3,3641,243,-80.0
552,"Jun 12, 2025 20:45:30.639847289 CEST",c4:ea:1d:53:75:c3,3034,243,-72.0
1528,"Jun 12, 2025 20:45:59.002162847 CEST",c4:ea:1d:53:75:c3,3382,243,-72.0
375,"Jun 12, 2025 20:45:25.436831598 CEST",f2:42:89:7e:73:bd,2436,458,-71.0
2654,"Jun 12, 2025 20:46:31.484066657 CEST",f2:42:89:7e:73:bd,3119,458,-64.0
