frame.number,frame.time,wlan.sa,wlan.seq,frame.len,radiotap.dbm_antsignal
4607,"Jun  5, 2025 00:43:46.376176533 CEST",f2:42:89:7e:73:bd,3411,458,-74.0
3652,"Jun  5, 2025 00:43:35.009180562 CEST",f2:42:89:7e:73:bd,3297,458,-71.0
3844,"Jun  5, 2025 00:43:37.099890631 CEST",40:ee:dd:0e:38:54,2593,305,-73.0
702,"Jun  5, 2025 00:43:03.367973045 CEST",f2:42:89:7e:73:bd,2975,458,-73.0
3677,"Jun  5, 2025 00:43:35.494257890 CEST",40:ee:dd:0e:38:54,2575,305,-73.0
7259,"Jun  5, 2025 00:44:14.330311973 CEST",f2:42:89:7e:73:bd,3691,458,-70.0
1996,"Jun  5, 2025 00:43:16.986984932 CEST",f2:42:89:7e:73:bd,3113,458,-74.0
839,"Jun  5, 2025 00:43:05.188172597 CEST",40:ee:dd:0e:38:54,2255,305,-72.0
7171,"Jun  5, 2025 00:44:12.999142764 CEST",f2:42:89:7e:73:bd,3678,458,-71.0
2636,"Jun  5, 2025 00:43:23.950117535 CEST",f2:42:89:7e:73:bd,3184,458,-71.0
2288,"Jun  5, 2025 00:43:20.059084743 CEST",f2:42:89:7e:73:bd,3145,458,-71.0
1307,"Jun  5, 2025 00:43:08.700490050 CEST",40:ee:dd:0e:38:54,2291,305,-74.0
4828,"Jun  5, 2025 00:43:48.640279112 CEST",40:ee:dd:0e:38:54,2717,305,-78.0
242,"Jun  5, 2025 00:42:58.278022849 CEST",c4:ea:1d:53:75:c3,1431,243,-88.0
4093,"Jun  5, 2025 00:43:40.026721550 CEST",f2:42:89:7e:73:bd,3347,458,-72.0
4522,"Jun  5, 2025 00:43:45.328703248 CEST",40:ee:dd:0e:38:54,2680,305,-75.0
4413,"Jun  5, 2025 00:43:44.021996438 CEST",f2:42:89:7e:73:bd,3386,458,-73.0
3092,"Jun  5, 2025 00:43:28.762851123 CEST",f2:42:89:7e:73:bd,3234,458,-74.0
347,"Jun  5, 2025 00:42:59.267446923 CEST",40:ee:dd:0e:38:54,2192,305,-75.0
7892,"Jun  5, 2025 00:44:20.781434982 CEST",f2:42:89:7e:73:bd,3754,458,-72.0
2732,"Jun  5, 2025 00:43:24.769295099 CEST",f2:42:89:7e:73:bd,3193,458,-73.0
2745,"Jun  5, 2025 00:43:24.871702325 CEST",f2:42:89:7e:73:bd,3194,458,-73.0
4668,"Jun  5, 2025 00:43:47.092448414 CEST",f2:42:89:7e:73:bd,3419,458,-73.0
7169,"Jun  5, 2025 00:44:12.925257461 CEST",40:ee:dd:0e:38:54,2969,305,-77.0
3187,"Jun  5, 2025 00:43:29.673903010 CEST",40:ee:dd:0e:38:54,2513,305,-80.0
8242,"Jun  5, 2025 00:44:25.082176787 CEST",f2:42:89:7e:73:bd,3796,458,-75.0
6512,"Jun  5, 2025 00:44:06.650418810 CEST",f2:42:89:7e:73:bd,3616,458,-72.0
