frame.number,frame.time,wlan.sa,wlan.seq,frame.len,radiotap.dbm_antsignal
55,"Jun 12, 2025 20:55:06.590223243 CEST",f2:42:89:7e:73:bd,257,458,-56.0
176,"Jun 12, 2025 20:55:14.782117757 CEST",f2:42:89:7e:73:bd,349,458,-62.0
206,"Jun 12, 2025 20:55:17.546896853 CEST",f2:42:89:7e:73:bd,376,458,-60.0
152,"Jun 12, 2025 20:55:12.631753314 CEST",f2:42:89:7e:73:bd,327,458,-62.0
81,"Jun 12, 2025 20:55:07.700947379 CEST",3a:07:16:cb:a7:f4,1773,384,-71.0
1732,"Jun 12, 2025 20:56:23.985262376 CEST",c4:ea:1d:53:75:c3,2929,243,-76.0
-2,synthetic,40:ee:dd:0e:38:54,-1,-1,-76.59593132397056
536,"Jun 12, 2025 20:55:36.490646894 CEST",f2:42:89:7e:73:bd,576,458,-56.0
453,"Jun 12, 2025 20:55:30.556871167 CEST",f2:42:89:7e:73:bd,518,458,-60.0
865,"Jun 12, 2025 20:56:00.144776655 CEST",f2:42:89:7e:73:bd,811,458,-58.0
120,"Jun 12, 2025 20:55:10.281427899 CEST",3a:07:16:cb:a7:f4,1794,384,-71.0
1191,"Jun 12, 2025 20:56:06.595891004 CEST",f2:42:89:7e:73:bd,874,458,-58.0
139,"Jun 12, 2025 20:55:11.300559662 CEST",f2:42:89:7e:73:bd,314,458,-63.0
174,"Jun 12, 2025 20:55:14.577332218 CEST",f2:42:89:7e:73:bd,347,458,-60.0
693,"Jun 12, 2025 20:55:47.447321622 CEST",f2:42:89:7e:73:bd,686,458,-59.0
1102,"Jun 12, 2025 20:56:05.162316665 CEST",f2:42:89:7e:73:bd,860,458,-57.0
1861,"Jun 12, 2025 20:56:33.219578277 CEST",f2:42:89:7e:73:bd,1175,459,-53.0
1483,"Jun 12, 2025 20:56:13.763799088 CEST",f2:42:89:7e:73:bd,970,458,-58.0
1833,"Jun 12, 2025 20:56:30.762007799 CEST",f2:42:89:7e:73:bd,1151,458,-57.0
689,"Jun 12, 2025 20:55:47.037739998 CEST",f2:42:89:7e:73:bd,682,458,-58.0
1194,"Jun 12, 2025 20:56:06.700887456 CEST",f2:42:89:7e:73:bd,876,458,-59.0
761,"Jun 12, 2025 20:55:51.236097485 CEST",f2:42:89:7e:73:bd,724,458,-58.0
528,"Jun 12, 2025 20:55:35.876257382 CEST",f2:42:89:7e:73:bd,570,458,-55.0
1457,"Jun 12, 2025 20:56:12.125435578 CEST",f2:42:89:7e:73:bd,954,458,-58.0
613,"Jun 12, 2025 20:55:41.405781493 CEST",f2:42:89:7e:73:bd,625,458,-58.0
539,"Jun 12, 2025 20:55:36.797863335 CEST",f2:42:89:7e:73:bd,579,458,-59.0
1346,"Jun 12, 2025 20:56:10.080781017 CEST",f2:42:89:7e:73:bd,926,458,-57.0
42,"Jun 12, 2025 20:55:06.241191009 CEST",3a:07:16:cb:a7:f4,1761,384,-72.0
778,"Jun 12, 2025 20:55:52.669679577 CEST",f2:42:89:7e:73:bd,738,458,-57.0
1196,"Jun 12, 2025 20:56:06.800666765 CEST",f2:42:89:7e:73:bd,877,458,-58.0
650,"Jun 12, 2025 20:55:44.375357442 CEST",f2:42:89:7e:73:bd,654,458,-58.0
867,"Jun 12, 2025 20:56:00.247165653 CEST",f2:42:89:7e:73:bd,812,458,-58.0
1649,"Jun 12, 2025 20:56:19.498139398 CEST",f2:42:89:7e:73:bd,1030,458,-57.0
556,"Jun 12, 2025 20:55:38.026645710 CEST",f2:42:89:7e:73:bd,591,458,-57.0
666,"Jun 12, 2025 20:55:45.911349554 CEST",f2:42:89:7e:73:bd,669,459,-58.0
