frame.number,frame.time,wlan.sa,wlan.seq,frame.len,radiotap.dbm_antsignal
"1","Apr 13, 2021 15:28:42.561714792 CEST","f2:42:89:7e:73:bd","3963","458","-62"
"2","Apr 13, 2021 15:28:42.581745133 CEST","3a:07:16:cb:a7:f4","149","384","-70"
"3","Apr 13, 2021 15:28:42.607240344 CEST","26:59:43:64:4c:4a","1129","453","-83"
"4","Apr 13, 2021 15:28:42.664122159 CEST","f2:42:89:7e:73:bd","3964","458","-61"
"5","Apr 13, 2021 15:28:42.704612014 CEST","3a:07:16:cb:a7:f4","150","384","-68"
"6","Apr 13, 2021 15:28:42.709648269 CEST","26:59:43:64:4c:4a","1130","453","-85"
"7","Apr 13, 2021 15:28:42.766531410 CEST","f2:42:89:7e:73:bd","3965","458","-61"
"8","Apr 13, 2021 15:28:42.812057591 CEST","26:59:43:64:4c:4a","1131","453","-85"
"9","Apr 13, 2021 15:28:42.827480642 CEST","3a:07:16:cb:a7:f4","151","384","-69"
"10","Apr 13, 2021 15:28:42.868927183 CEST","f2:42:89:7e:73:bd","3966","458","-63"
"11","Apr 13, 2021 15:28:42.914460487 CEST","26:59:43:64:4c:4a","1132","453","-84"
"12","Apr 13, 2021 15:28:42.950359745 CEST","3a:07:16:cb:a7:f4","152","384","-71"
"13","Apr 13, 2021 15:28:42.971336295 CEST","f2:42:89:7e:73:bd","3967","458","-64"
"14","Apr 13, 2021 15:28:43.016871974 CEST","26:59:43:64:4c:4a","1133","453","-85"
"15","Apr 13, 2021 15:28:43.044741999 CEST","40:ee:dd:0e:38:54","1765","305","-76"
"16","Apr 13, 2021 15:28:43.073737585 CEST","f2:42:89:7e:73:bd","3968","458","-63"
"17","Apr 13, 2021 15:28:43.076698437 CEST","3a:07:16:cb:a7:f4","153","384","-71"
"18","Apr 13, 2021 15:28:43.119271309 CEST","26:59:43:64:4c:4a","1134","453","-85"
"19","Apr 13, 2021 15:28:43.176121205 CEST","f2:42:89:7e:73:bd","3969","458","-63"
"20","Apr 13, 2021 15:28:43.221678884 CEST","26:59:43:64:4c:4a","1135","453","-83"
"21","Apr 13, 2021 15:28:43.245471225 CEST","40:ee:dd:0e:38:54","1767","305","-76"
"22","Apr 13, 2021 15:28:43.278519353 CEST","f2:42:89:7e:73:bd","3970","458","-62"
"24","Apr 13, 2021 15:28:43.324065508 CEST","26:59:43:64:4c:4a","1136","453","-85"
"27","Apr 13, 2021 15:28:43.345802420 CEST","40:ee:dd:0e:38:54","1768","305","-77"
"28","Apr 13, 2021 15:28:43.380919595 CEST","f2:42:89:7e:73:bd","3971","458","-62"
"29","Apr 13, 2021 15:28:43.426457858 CEST","26:59:43:64:4c:4a","1137","453","-83"
"30","Apr 13, 2021 15:28:43.446148630 CEST","40:ee:dd:0e:38:54","1769","305","-76"
"31","Apr 13, 2021 15:28:43.483331431 CEST","f2:42:89:7e:73:bd","3972","458","-64"
"32","Apr 13, 2021 15:28:43.528862430 CEST","26:59:43:64:4c:4a","1138","453","-83"
"33","Apr 13, 2021 15:28:43.564789206 CEST","3a:07:16:cb:a7:f4","157","384","-71"
"34","Apr 13, 2021 15:28:43.585734397 CEST","f2:42:89:7e:73:bd","3973","458","-61"
"35","Apr 13, 2021 15:28:43.631250520 CEST","26:59:43:64:4c:4a","1139","453","-83"
"36","Apr 13, 2021 15:28:43.688117598 CEST","f2:42:89:7e:73:bd","3974","458","-63"
"37","Apr 13, 2021 15:28:43.733663125 CEST","26:59:43:64:4c:4a","1140","453","-82"
"38","Apr 13, 2021 15:28:43.790515745 CEST","f2:42:89:7e:73:bd","3975","458","-62"
"39","Apr 13, 2021 15:28:43.810519127 CEST","3a:07:16:cb:a7:f4","159","384","-70"
"40","Apr 13, 2021 15:28:43.836063996 CEST","26:59:43:64:4c:4a","1141","453","-83"
"41","Apr 13, 2021 15:28:43.847576214 CEST","40:ee:dd:0e:38:54","1773","305","-75"
"42","Apr 13, 2021 15:28:43.892912007 CEST","f2:42:89:7e:73:bd","3976","458","-63"
"43","Apr 13, 2021 15:28:43.933397043 CEST","3a:07:16:cb:a7:f4","160","384","-70"
"44","Apr 13, 2021 15:28:43.938457952 CEST","26:59:43:64:4c:4a","1142","453","-84"
"45","Apr 13, 2021 15:28:43.995329290 CEST","f2:42:89:7e:73:bd","3977","458","-65"
"46","Apr 13, 2021 15:28:44.040870347 CEST","26:59:43:64:4c:4a","1143","453","-85"
"47","Apr 13, 2021 15:28:44.056278522 CEST","3a:07:16:cb:a7:f4","161","384","-70"
"48","Apr 13, 2021 15:28:44.097718079 CEST","f2:42:89:7e:73:bd","3978","458","-65"
"49","Apr 13, 2021 15:28:44.179152666 CEST","3a:07:16:cb:a7:f4","162","384","-71"
"50","Apr 13, 2021 15:28:44.200117972 CEST","f2:42:89:7e:73:bd","3979","458","-64"
"51","Apr 13, 2021 15:28:44.245669505 CEST","26:59:43:64:4c:4a","1145","453","-81"
"52","Apr 13, 2021 15:28:44.302506900 CEST","f2:42:89:7e:73:bd","3980","458","-64"
"53","Apr 13, 2021 15:28:44.305480672 CEST","3a:07:16:cb:a7:f4","163","384","-69"
"54","Apr 13, 2021 15:28:44.348071214 CEST","26:59:43:64:4c:4a","1146","453","-80"
"55","Apr 13, 2021 15:28:44.404890171 CEST","f2:42:89:7e:73:bd","3981","458","-65"
"56","Apr 13, 2021 15:28:44.424912131 CEST","3a:07:16:cb:a7:f4","164","384","-69"
"57","Apr 13, 2021 15:28:44.511124141 CEST","f2:42:89:7e:73:bd","3982","458","-63"
"58","Apr 13, 2021 15:28:44.547791653 CEST","3a:07:16:cb:a7:f4","165","384","-68"
"59","Apr 13, 2021 15:28:44.551090257 CEST","40:ee:dd:0e:38:54","1781","305","-76"
"60","Apr 13, 2021 15:28:44.554625693 CEST","26:59:43:64:4c:4a","1148","453","-83"
"61","Apr 13, 2021 15:28:44.609701411 CEST","f2:42:89:7e:73:bd","3983","458","-62"
"62","Apr 13, 2021 15:28:44.650390385 CEST","40:ee:dd:0e:38:54","1782","305","-76"
"63","Apr 13, 2021 15:28:44.655266773 CEST","26:59:43:64:4c:4a","1149","453","-82"
"64","Apr 13, 2021 15:28:44.712085171 CEST","f2:42:89:7e:73:bd","3984","458","-61"
"65","Apr 13, 2021 15:28:44.757666875 CEST","26:59:43:64:4c:4a","1150","453","-83"
"68","Apr 13, 2021 15:28:44.793562222 CEST","3a:07:16:cb:a7:f4","167","384","-70"
"69","Apr 13, 2021 15:28:44.814503572 CEST","f2:42:89:7e:73:bd","3985","458","-62"
"70","Apr 13, 2021 15:28:44.860072565 CEST","26:59:43:64:4c:4a","1151","453","-82"
"71","Apr 13, 2021 15:28:44.916914780 CEST","f2:42:89:7e:73:bd","3986","458","-62"
"72","Apr 13, 2021 15:28:44.919889390 CEST","3a:07:16:cb:a7:f4","168","384","-71"
"73","Apr 13, 2021 15:28:44.954119860 CEST","14:14:59:5a:be:ec","538","367","-52"
"74","Apr 13, 2021 15:28:44.962461075 CEST","26:59:43:64:4c:4a","1152","453","-83"
"75","Apr 13, 2021 15:28:45.019287435 CEST","f2:42:89:7e:73:bd","3987","458","-64"
"76","Apr 13, 2021 15:28:45.039310791 CEST","3a:07:16:cb:a7:f4","169","384","-68"
"77","Apr 13, 2021 15:28:45.064861457 CEST","26:59:43:64:4c:4a","1153","453","-81"
"78","Apr 13, 2021 15:28:45.121689423 CEST","f2:42:89:7e:73:bd","3988","458","-67"
"79","Apr 13, 2021 15:28:45.162220974 CEST","3a:07:16:cb:a7:f4","170","384","-68"
"80","Apr 13, 2021 15:28:45.167266308 CEST","26:59:43:64:4c:4a","1154","453","-84"
"82","Apr 13, 2021 15:28:45.225737291 CEST","f2:42:89:7e:73:bd","3989","458","-65"
"84","Apr 13, 2021 15:28:45.269652094 CEST","26:59:43:64:4c:4a","1155","453","-84"
"85","Apr 13, 2021 15:28:45.285086179 CEST","3a:07:16:cb:a7:f4","171","384","-69"
"86","Apr 13, 2021 15:28:45.326479711 CEST","f2:42:89:7e:73:bd","3990","458","-62"
"87","Apr 13, 2021 15:28:45.372069098 CEST","26:59:43:64:4c:4a","1156","453","-84"
"88","Apr 13, 2021 15:28:45.407955016 CEST","3a:07:16:cb:a7:f4","172","384","-70"
"89","Apr 13, 2021 15:28:45.428903770 CEST","f2:42:89:7e:73:bd","3991","459","-62"
"90","Apr 13, 2021 15:28:45.474476813 CEST","26:59:43:64:4c:4a","1157","453","-83"
"91","Apr 13, 2021 15:28:45.531302894 CEST","f2:42:89:7e:73:bd","3992","459","-61"
"92","Apr 13, 2021 15:28:45.534268565 CEST","3a:07:16:cb:a7:f4","173","384","-69"
"93","Apr 13, 2021 15:28:45.633706769 CEST","f2:42:89:7e:73:bd","3993","459","-60"
"94","Apr 13, 2021 15:28:45.653717833 CEST","3a:07:16:cb:a7:f4","174","384","-71"
"95","Apr 13, 2021 15:28:45.679270035 CEST","26:59:43:64:4c:4a","1159","453","-83"
"96","Apr 13, 2021 15:28:45.736093881 CEST","f2:42:89:7e:73:bd","3994","459","-61"
"97","Apr 13, 2021 15:28:45.754250449 CEST","40:ee:dd:0e:38:54","1795","305","-76"
"98","Apr 13, 2021 15:28:45.776602524 CEST","3a:07:16:cb:a7:f4","175","384","-71"
"99","Apr 13, 2021 15:28:45.781658753 CEST","26:59:43:64:4c:4a","1160","453","-83"
"101","Apr 13, 2021 15:28:45.838496079 CEST","f2:42:89:7e:73:bd","3995","459","-64"
"102","Apr 13, 2021 15:28:45.884074361 CEST","26:59:43:64:4c:4a","1161","453","-83"
"103","Apr 13, 2021 15:28:45.940899883 CEST","f2:42:89:7e:73:bd","3996","459","-61"
"105","Apr 13, 2021 15:28:46.022357658 CEST","3a:07:16:cb:a7:f4","177","384","-70"
"106","Apr 13, 2021 15:28:46.043307040 CEST","f2:42:89:7e:73:bd","3997","459","-62"
"107","Apr 13, 2021 15:28:46.055305074 CEST","40:ee:dd:0e:38:54","1798","305","-77"
"108","Apr 13, 2021 15:28:46.145688565 CEST","f2:42:89:7e:73:bd","3998","459","-62"
"110","Apr 13, 2021 15:28:46.191263285 CEST","26:59:43:64:4c:4a","1164","453","-82"
"111","Apr 13, 2021 15:28:46.248116045 CEST","f2:42:89:7e:73:bd","3999","459","-61"
"112","Apr 13, 2021 15:28:46.268110068 CEST","3a:07:16:cb:a7:f4","179","384","-70"
"113","Apr 13, 2021 15:28:46.293671000 CEST","26:59:43:64:4c:4a","1165","453","-82"
"114","Apr 13, 2021 15:28:46.356198295 CEST","f2:42:89:7e:73:bd","4000","459","-61"
"115","Apr 13, 2021 15:28:46.390996295 CEST","3a:07:16:cb:a7:f4","180","384","-71"
"116","Apr 13, 2021 15:28:46.396066214 CEST","26:59:43:64:4c:4a","1166","453","-84"
"117","Apr 13, 2021 15:28:46.452881749 CEST","f2:42:89:7e:73:bd","4001","459","-63"
"118","Apr 13, 2021 15:28:46.498563117 CEST","26:59:43:64:4c:4a","1167","453","-83"
"119","Apr 13, 2021 15:28:46.513866599 CEST","3a:07:16:cb:a7:f4","181","384","-70"
"120","Apr 13, 2021 15:28:46.555301477 CEST","f2:42:89:7e:73:bd","4002","459","-63"
"121","Apr 13, 2021 15:28:46.600870400 CEST","26:59:43:64:4c:4a","1168","453","-84"
"122","Apr 13, 2021 15:28:46.636742141 CEST","3a:07:16:cb:a7:f4","182","384","-70"
"123","Apr 13, 2021 15:28:46.657717084 CEST","f2:42:89:7e:73:bd","4003","459","-62"
"124","Apr 13, 2021 15:28:46.703286985 CEST","26:59:43:64:4c:4a","1169","453","-82"
"125","Apr 13, 2021 15:28:46.760745829 CEST","3a:07:16:cb:a7:f4","183","384","-70"
"126","Apr 13, 2021 15:28:46.764352223 CEST","f2:42:89:7e:73:bd","4004","459","-63"
"127","Apr 13, 2021 15:28:46.805676752 CEST","26:59:43:64:4c:4a","1170","453","-81"
"134","Apr 13, 2021 15:28:46.862486210 CEST","f2:42:89:7e:73:bd","4007","459","-65"
