frame.number,frame.time,wlan.sa,wlan.seq,frame.len,radiotap.dbm_antsignal
"1","Jun  5, 2025 00:40:23.272343422 CEST","14:14:59:5a:be:ec","2108","367","-56"
"2","Jun  5, 2025 00:40:23.318643583 CEST","f2:42:89:7e:73:bd","1350","458","-67"
"3","Jun  5, 2025 00:40:23.321600384 CEST","40:ee:dd:0e:38:54","462","305","-82"
"4","Jun  5, 2025 00:40:23.335150222 CEST","26:59:43:64:4c:4a","60","453","-83"
"5","Jun  5, 2025 00:40:23.374770902 CEST","14:14:59:5a:be:ec","2109","367","-56"
"6","Jun  5, 2025 00:40:23.421042359 CEST","f2:42:89:7e:73:bd","1351","458","-66"
"7","Jun  5, 2025 00:40:23.434285244 CEST","26:59:43:64:4c:4a","61","453","-82"
"8","Jun  5, 2025 00:40:23.477124421 CEST","14:14:59:5a:be:ec","2110","367","-57"
"11","Jun  5, 2025 00:40:23.523436106 CEST","f2:42:89:7e:73:bd","1352","458","-66"
"12","Jun  5, 2025 00:40:23.536701131 CEST","26:59:43:64:4c:4a","62","453","-83"
"13","Jun  5, 2025 00:40:23.579544009 CEST","14:14:59:5a:be:ec","2111","367","-57"
"14","Jun  5, 2025 00:40:23.610443749 CEST","3a:07:16:cb:a7:f4","89","384","-75"
"15","Jun  5, 2025 00:40:23.622621694 CEST","40:ee:dd:0e:38:54","465","305","-82"
"16","Jun  5, 2025 00:40:23.639096135 CEST","26:59:43:64:4c:4a","63","453","-83"
"17","Jun  5, 2025 00:40:23.682005991 CEST","14:14:59:5a:be:ec","2112","367","-57"
"18","Jun  5, 2025 00:40:23.722984736 CEST","40:ee:dd:0e:38:54","466","305","-82"
"19","Jun  5, 2025 00:40:23.728233937 CEST","f2:42:89:7e:73:bd","1354","458","-66"
"20","Jun  5, 2025 00:40:23.733325297 CEST","3a:07:16:cb:a7:f4","90","384","-74"
"21","Jun  5, 2025 00:40:23.741495749 CEST","26:59:43:64:4c:4a","64","453","-82"
"22","Jun  5, 2025 00:40:23.784364119 CEST","14:14:59:5a:be:ec","2113","367","-57"
"23","Jun  5, 2025 00:40:23.831022357 CEST","f2:42:89:7e:73:bd","1355","458","-66"
"24","Jun  5, 2025 00:40:23.843909960 CEST","26:59:43:64:4c:4a","65","453","-83"
"25","Jun  5, 2025 00:40:23.858298871 CEST","3a:07:16:cb:a7:f4","91","384","-77"
"26","Jun  5, 2025 00:40:23.886730209 CEST","14:14:59:5a:be:ec","2114","367","-56"
"27","Jun  5, 2025 00:40:23.933035400 CEST","f2:42:89:7e:73:bd","1356","458","-66"
"28","Jun  5, 2025 00:40:23.946292882 CEST","26:59:43:64:4c:4a","66","453","-80"
"29","Jun  5, 2025 00:40:23.979075053 CEST","3a:07:16:cb:a7:f4","92","384","-77"
"30","Jun  5, 2025 00:40:23.989171868 CEST","14:14:59:5a:be:ec","2115","367","-58"
"31","Jun  5, 2025 00:40:24.024043132 CEST","40:ee:dd:0e:38:54","469","305","-82"
"32","Jun  5, 2025 00:40:24.035439204 CEST","f2:42:89:7e:73:bd","1357","458","-67"
"33","Jun  5, 2025 00:40:24.048697314 CEST","26:59:43:64:4c:4a","67","453","-83"
"34","Jun  5, 2025 00:40:24.091545291 CEST","14:14:59:5a:be:ec","2116","367","-56"
"35","Jun  5, 2025 00:40:24.101955693 CEST","3a:07:16:cb:a7:f4","93","384","-75"
"39","Jun  5, 2025 00:40:24.124373767 CEST","40:ee:dd:0e:38:54","470","305","-83"
"40","Jun  5, 2025 00:40:24.139358285 CEST","f2:42:89:7e:73:bd","1358","458","-66"
"41","Jun  5, 2025 00:40:24.151086522 CEST","26:59:43:64:4c:4a","68","453","-82"
"42","Jun  5, 2025 00:40:24.193934638 CEST","14:14:59:5a:be:ec","2117","367","-57"
"56","Jun  5, 2025 00:40:24.220252301 CEST","d4:1a:d1:dc:0c:e1","2833","375","-84"
"57","Jun  5, 2025 00:40:24.224835844 CEST","3a:07:16:cb:a7:f4","94","384","-75"
"58","Jun  5, 2025 00:40:24.240227397 CEST","f2:42:89:7e:73:bd","1359","458","-67"
"65","Jun  5, 2025 00:40:24.296440341 CEST","14:14:59:5a:be:ec","2119","367","-56"
"74","Jun  5, 2025 00:40:24.342633575 CEST","f2:42:89:7e:73:bd","1360","458","-66"
"75","Jun  5, 2025 00:40:24.355917038 CEST","26:59:43:64:4c:4a","70","453","-84"
"80","Jun  5, 2025 00:40:24.398723110 CEST","14:14:59:5a:be:ec","2121","367","-57"
"81","Jun  5, 2025 00:40:24.445043246 CEST","f2:42:89:7e:73:bd","1361","458","-66"
"84","Jun  5, 2025 00:40:24.501121397 CEST","14:14:59:5a:be:ec","2122","367","-59"
"87","Jun  5, 2025 00:40:24.547441463 CEST","f2:42:89:7e:73:bd","1362","458","-66"
"88","Jun  5, 2025 00:40:24.560693707 CEST","26:59:43:64:4c:4a","72","453","-82"
"89","Jun  5, 2025 00:40:24.593803434 CEST","3a:07:16:cb:a7:f4","97","384","-77"
"90","Jun  5, 2025 00:40:24.603514446 CEST","14:14:59:5a:be:ec","2123","367","-59"
"91","Jun  5, 2025 00:40:24.626146234 CEST","40:ee:dd:0e:38:54","475","305","-84"
"92","Jun  5, 2025 00:40:24.629874641 CEST","d4:1a:d1:dc:0c:e1","2837","375","-80"
"93","Jun  5, 2025 00:40:24.649841287 CEST","f2:42:89:7e:73:bd","1363","458","-66"
"94","Jun  5, 2025 00:40:24.663105334 CEST","26:59:43:64:4c:4a","73","453","-82"
"95","Jun  5, 2025 00:40:24.705963088 CEST","14:14:59:5a:be:ec","2124","367","-59"
"96","Jun  5, 2025 00:40:24.732252535 CEST","d4:1a:d1:dc:0c:e1","2838","375","-84"
"97","Jun  5, 2025 00:40:24.752227561 CEST","f2:42:89:7e:73:bd","1364","458","-66"
"98","Jun  5, 2025 00:40:24.765497195 CEST","26:59:43:64:4c:4a","74","453","-82"
"99","Jun  5, 2025 00:40:24.808376391 CEST","14:14:59:5a:be:ec","2125","367","-60"
"112","Jun  5, 2025 00:40:24.826833417 CEST","40:ee:dd:0e:38:54","477","305","-83"
"113","Jun  5, 2025 00:40:24.834658015 CEST","d4:1a:d1:dc:0c:e1","2839","375","-82"
"114","Jun  5, 2025 00:40:24.854625010 CEST","f2:42:89:7e:73:bd","1365","458","-65"
"115","Jun  5, 2025 00:40:24.867912663 CEST","26:59:43:64:4c:4a","75","453","-83"
"120","Jun  5, 2025 00:40:24.910718525 CEST","14:14:59:5a:be:ec","2127","367","-57"
"121","Jun  5, 2025 00:40:24.937074042 CEST","d4:1a:d1:dc:0c:e1","2840","375","-79"
"122","Jun  5, 2025 00:40:24.957025741 CEST","f2:42:89:7e:73:bd","1366","458","-66"
"123","Jun  5, 2025 00:40:24.962111862 CEST","3a:07:16:cb:a7:f4","100","384","-76"
"124","Jun  5, 2025 00:40:24.970294886 CEST","26:59:43:64:4c:4a","76","453","-83"
"129","Jun  5, 2025 00:40:25.013157320 CEST","14:14:59:5a:be:ec","2128","367","-56"
"130","Jun  5, 2025 00:40:25.059433736 CEST","f2:42:89:7e:73:bd","1367","458","-66"
"131","Jun  5, 2025 00:40:25.072728024 CEST","26:59:43:64:4c:4a","77","453","-84"
"132","Jun  5, 2025 00:40:25.115546248 CEST","14:14:59:5a:be:ec","2129","367","-57"
"135","Jun  5, 2025 00:40:25.161839705 CEST","f2:42:89:7e:73:bd","1368","458","-65"
"136","Jun  5, 2025 00:40:25.175095650 CEST","26:59:43:64:4c:4a","78","453","-83"
"137","Jun  5, 2025 00:40:25.217958084 CEST","14:14:59:5a:be:ec","2130","367","-58"
"140","Jun  5, 2025 00:40:25.264216970 CEST","f2:42:89:7e:73:bd","1369","458","-66"
"141","Jun  5, 2025 00:40:25.277496312 CEST","26:59:43:64:4c:4a","79","453","-83"
"142","Jun  5, 2025 00:40:25.320378301 CEST","14:14:59:5a:be:ec","2131","367","-59"
"143","Jun  5, 2025 00:40:25.328619573 CEST","40:ee:dd:0e:38:54","482","305","-84"
"144","Jun  5, 2025 00:40:25.379917157 CEST","26:59:43:64:4c:4a","80","453","-84"
"145","Jun  5, 2025 00:40:25.422775750 CEST","14:14:59:5a:be:ec","2132","367","-59"
"146","Jun  5, 2025 00:40:25.453633864 CEST","3a:07:16:cb:a7:f4","104","384","-75"
"147","Jun  5, 2025 00:40:25.469025416 CEST","f2:42:89:7e:73:bd","1371","458","-65"
"148","Jun  5, 2025 00:40:25.482297076 CEST","26:59:43:64:4c:4a","81","453","-83"
"149","Jun  5, 2025 00:40:25.525122843 CEST","14:14:59:5a:be:ec","2133","367","-61"
"152","Jun  5, 2025 00:40:25.571417417 CEST","f2:42:89:7e:73:bd","1372","458","-65"
"153","Jun  5, 2025 00:40:25.576508218 CEST","3a:07:16:cb:a7:f4","105","384","-75"
"154","Jun  5, 2025 00:40:25.584699064 CEST","26:59:43:64:4c:4a","82","453","-84"
"155","Jun  5, 2025 00:40:25.627571835 CEST","14:14:59:5a:be:ec","2134","367","-60"
"156","Jun  5, 2025 00:40:25.673830790 CEST","f2:42:89:7e:73:bd","1373","458","-65"
"157","Jun  5, 2025 00:40:25.687096932 CEST","26:59:43:64:4c:4a","83","453","-83"
"159","Jun  5, 2025 00:40:25.729913550 CEST","14:14:59:5a:be:ec","2135","367","-61"
"160","Jun  5, 2025 00:40:25.776224746 CEST","f2:42:89:7e:73:bd","1375","458","-65"
"161","Jun  5, 2025 00:40:25.789504019 CEST","26:59:43:64:4c:4a","84","453","-83"
"165","Jun  5, 2025 00:40:25.822278857 CEST","3a:07:16:cb:a7:f4","107","384","-75"
"166","Jun  5, 2025 00:40:25.842176988 CEST","d2:2d:06:4a:40:f5","1349","437","-86"
"167","Jun  5, 2025 00:40:25.878609903 CEST","f2:42:89:7e:73:bd","1376","458","-66"
"169","Jun  5, 2025 00:40:25.893793189 CEST","26:59:43:64:4c:4a","87","453","-83"
"170","Jun  5, 2025 00:40:25.930845386 CEST","40:ee:dd:0e:38:54","488","305","-81"
"171","Jun  5, 2025 00:40:25.934721578 CEST","14:14:59:5a:be:ec","2137","367","-62"
"172","Jun  5, 2025 00:40:25.984877537 CEST","f2:42:89:7e:73:bd","1377","458","-65"
"175","Jun  5, 2025 00:40:26.031060784 CEST","40:ee:dd:0e:38:54","489","305","-84"
"181","Jun  5, 2025 00:40:26.037160652 CEST","14:14:59:5a:be:ec","2138","367","-63"
"190","Jun  5, 2025 00:40:26.068035039 CEST","3a:07:16:cb:a7:f4","109","384","-75"
"193","Jun  5, 2025 00:40:26.083413182 CEST","f2:42:89:7e:73:bd","1378","458","-66"
"194","Jun  5, 2025 00:40:26.096710613 CEST","26:59:43:64:4c:4a","89","453","-83"
"197","Jun  5, 2025 00:40:26.131415585 CEST","40:ee:dd:0e:38:54","490","305","-83"
"198","Jun  5, 2025 00:40:26.139568716 CEST","14:14:59:5a:be:ec","2140","367","-61"
"205","Jun  5, 2025 00:40:26.185813843 CEST","f2:42:89:7e:73:bd","1379","458","-65"
"206","Jun  5, 2025 00:40:26.190906181 CEST","3a:07:16:cb:a7:f4","110","384","-75"
"207","Jun  5, 2025 00:40:26.199103173 CEST","26:59:43:64:4c:4a","90","453","-81"
"212","Jun  5, 2025 00:40:26.241974127 CEST","14:14:59:5a:be:ec","2142","367","-60"
"217","Jun  5, 2025 00:40:26.252210135 CEST","40:ee:dd:0e:38:54","491","305","-80"
"219","Jun  5, 2025 00:40:26.288203819 CEST","f2:42:89:7e:73:bd","1380","458","-66"
"220","Jun  5, 2025 00:40:26.332126094 CEST","40:ee:dd:0e:38:54","492","305","-82"
"221","Jun  5, 2025 00:40:26.344342941 CEST","14:14:59:5a:be:ec","2143","367","-62"
"229","Jun  5, 2025 00:40:26.390608531 CEST","f2:42:89:7e:73:bd","1381","458","-65"
"230","Jun  5, 2025 00:40:26.403890318 CEST","26:59:43:64:4c:4a","92","453","-84"
"237","Jun  5, 2025 00:40:26.432446114 CEST","40:ee:dd:0e:38:54","493","305","-82"
"238","Jun  5, 2025 00:40:26.436666623 CEST","3a:07:16:cb:a7:f4","112","384","-77"
"239","Jun  5, 2025 00:40:26.446718669 CEST","14:14:59:5a:be:ec","2145","367","-61"
"240","Jun  5, 2025 00:40:26.493003396 CEST","f2:42:89:7e:73:bd","1382","458","-66"
"241","Jun  5, 2025 00:40:26.506279735 CEST","26:59:43:64:4c:4a","93","453","-83"
"244","Jun  5, 2025 00:40:26.532803080 CEST","40:ee:dd:0e:38:54","494","305","-83"
"245","Jun  5, 2025 00:40:26.549166264 CEST","14:14:59:5a:be:ec","2146","367","-61"
"248","Jun  5, 2025 00:40:26.559542653 CEST","3a:07:16:cb:a7:f4","113","384","-75"
"249","Jun  5, 2025 00:40:26.596943359 CEST","f2:42:89:7e:73:bd","1383","458","-66"
"250","Jun  5, 2025 00:40:26.608700790 CEST","26:59:43:64:4c:4a","94","453","-82"
"251","Jun  5, 2025 00:40:26.633181417 CEST","40:ee:dd:0e:38:54","495","305","-82"
"255","Jun  5, 2025 00:40:26.682419941 CEST","3a:07:16:cb:a7:f4","114","384","-75"
"256","Jun  5, 2025 00:40:26.698227747 CEST","f2:42:89:7e:73:bd","1384","458","-65"
"257","Jun  5, 2025 00:40:26.711098867 CEST","26:59:43:64:4c:4a","95","453","-81"
"258","Jun  5, 2025 00:40:26.733523506 CEST","40:ee:dd:0e:38:54","496","305","-81"
"259","Jun  5, 2025 00:40:26.753945098 CEST","14:14:59:5a:be:ec","2148","367","-61"
"270","Jun  5, 2025 00:40:26.800198605 CEST","f2:42:89:7e:73:bd","1385","458","-65"
"271","Jun  5, 2025 00:40:26.813496525 CEST","26:59:43:64:4c:4a","96","453","-83"
"276","Jun  5, 2025 00:40:26.856354350 CEST","14:14:59:5a:be:ec","2150","367","-61"
"278","Jun  5, 2025 00:40:26.902617216 CEST","f2:42:89:7e:73:bd","1386","458","-66"
"279","Jun  5, 2025 00:40:26.915913041 CEST","26:59:43:64:4c:4a","97","453","-84"
"284","Jun  5, 2025 00:40:26.934230943 CEST","40:ee:dd:0e:38:54","498","305","-82"
"285","Jun  5, 2025 00:40:26.958714992 CEST","14:14:59:5a:be:ec","2151","367","-59"
"295","Jun  5, 2025 00:40:27.005004468 CEST","f2:42:89:7e:73:bd","1387","458","-65"
"296","Jun  5, 2025 00:40:27.018319010 CEST","26:59:43:64:4c:4a","98","453","-85"
"297","Jun  5, 2025 00:40:27.036744887 CEST","40:ee:dd:0e:38:54","499","305","-80"
"302","Jun  5, 2025 00:40:27.051058858 CEST","3a:07:16:cb:a7:f4","117","384","-76"
"303","Jun  5, 2025 00:40:27.061169291 CEST","14:14:59:5a:be:ec","2153","367","-60"
"304","Jun  5, 2025 00:40:27.107402266 CEST","f2:42:89:7e:73:bd","1388","458","-65"
"305","Jun  5, 2025 00:40:27.120699278 CEST","26:59:43:64:4c:4a","99","453","-85"
"310","Jun  5, 2025 00:40:27.134901503 CEST","40:ee:dd:0e:38:54","500","305","-82"
"311","Jun  5, 2025 00:40:27.163586296 CEST","14:14:59:5a:be:ec","2154","367","-59"
"312","Jun  5, 2025 00:40:27.189872599 CEST","d4:1a:d1:dc:0c:e1","2862","375","-83"
"314","Jun  5, 2025 00:40:27.209792102 CEST","f2:42:89:7e:73:bd","1389","458","-66"
"315","Jun  5, 2025 00:40:27.223102384 CEST","26:59:43:64:4c:4a","100","453","-85"
"316","Jun  5, 2025 00:40:27.235282354 CEST","40:ee:dd:0e:38:54","501","305","-83"
"317","Jun  5, 2025 00:40:27.265922564 CEST","14:14:59:5a:be:ec","2155","367","-58"
"320","Jun  5, 2025 00:40:27.296822163 CEST","3a:07:16:cb:a7:f4","119","384","-75"
"321","Jun  5, 2025 00:40:27.312191087 CEST","f2:42:89:7e:73:bd","1390","458","-65"
"322","Jun  5, 2025 00:40:27.327128741 CEST","26:59:43:64:4c:4a","101","453","-81"
"323","Jun  5, 2025 00:40:27.337977606 CEST","40:ee:dd:0e:38:54","502","305","-84"
"327","Jun  5, 2025 00:40:27.370530768 CEST","14:14:59:5a:be:ec","2156","367","-59"
"328","Jun  5, 2025 00:40:27.415206841 CEST","f2:42:89:7e:73:bd","1391","458","-66"
"330","Jun  5, 2025 00:40:27.427906430 CEST","26:59:43:64:4c:4a","103","453","-84"
"331","Jun  5, 2025 00:40:27.435967441 CEST","40:ee:dd:0e:38:54","503","305","-83"
"332","Jun  5, 2025 00:40:27.470766210 CEST","14:14:59:5a:be:ec","2157","367","-59"
"336","Jun  5, 2025 00:40:27.517232664 CEST","f2:42:89:7e:73:bd","1392","458","-66"
"337","Jun  5, 2025 00:40:27.530303320 CEST","26:59:43:64:4c:4a","104","453","-83"
"338","Jun  5, 2025 00:40:27.537671436 CEST","40:ee:dd:0e:38:54","504","305","-82"
"339","Jun  5, 2025 00:40:27.542576739 CEST","3a:07:16:cb:a7:f4","121","384","-77"
"342","Jun  5, 2025 00:40:27.573157373 CEST","14:14:59:5a:be:ec","2158","367","-61"
"353","Jun  5, 2025 00:40:27.582935293 CEST","d2:2d:06:4a:40:f5","1366","437","-86"
"354","Jun  5, 2025 00:40:27.619823084 CEST","f2:42:89:7e:73:bd","1393","458","-67"
"355","Jun  5, 2025 00:40:27.632713620 CEST","26:59:43:64:4c:4a","105","453","-83"
"356","Jun  5, 2025 00:40:27.636691291 CEST","40:ee:dd:0e:38:54","505","305","-80"
"359","Jun  5, 2025 00:40:27.675578079 CEST","14:14:59:5a:be:ec","2160","367","-59"
"360","Jun  5, 2025 00:40:27.721785352 CEST","f2:42:89:7e:73:bd","1394","458","-66"
"371","Jun  5, 2025 00:40:27.777931318 CEST","14:14:59:5a:be:ec","2161","367","-58"
"372","Jun  5, 2025 00:40:27.788336622 CEST","3a:07:16:cb:a7:f4","123","384","-76"
"373","Jun  5, 2025 00:40:27.824191181 CEST","f2:42:89:7e:73:bd","1395","458","-66"
"374","Jun  5, 2025 00:40:27.837505374 CEST","26:59:43:64:4c:4a","107","453","-84"
"375","Jun  5, 2025 00:40:27.880327510 CEST","14:14:59:5a:be:ec","2162","367","-59"
"377","Jun  5, 2025 00:40:27.926604344 CEST","f2:42:89:7e:73:bd","1396","458","-65"
"378","Jun  5, 2025 00:40:27.941551846 CEST","26:59:43:64:4c:4a","108","453","-83"
"379","Jun  5, 2025 00:40:27.982731943 CEST","14:14:59:5a:be:ec","2163","367","-58"
"390","Jun  5, 2025 00:40:28.029007171 CEST","f2:42:89:7e:73:bd","1397","458","-66"
"391","Jun  5, 2025 00:40:28.034091966 CEST","3a:07:16:cb:a7:f4","125","384","-75"
"392","Jun  5, 2025 00:40:28.042299923 CEST","26:59:43:64:4c:4a","109","453","-84"
"397","Jun  5, 2025 00:40:28.085110604 CEST","14:14:59:5a:be:ec","2165","367","-60"
"398","Jun  5, 2025 00:40:28.094925120 CEST","d2:2d:06:4a:40:f5","1371","437","-86"
"399","Jun  5, 2025 00:40:28.131386042 CEST","f2:42:89:7e:73:bd","1398","458","-66"
"400","Jun  5, 2025 00:40:28.144698838 CEST","26:59:43:64:4c:4a","110","453","-84"
"405","Jun  5, 2025 00:40:28.187523069 CEST","14:14:59:5a:be:ec","2166","367","-58"
"406","Jun  5, 2025 00:40:28.233791732 CEST","f2:42:89:7e:73:bd","1399","458","-66"
"407","Jun  5, 2025 00:40:28.238805009 CEST","40:ee:dd:0e:38:54","512","305","-83"
"408","Jun  5, 2025 00:40:28.247109347 CEST","26:59:43:64:4c:4a","111","453","-83"
"415","Jun  5, 2025 00:40:28.289910740 CEST","14:14:59:5a:be:ec","2167","367","-58"
