frame.number,frame.time,wlan.sa,wlan.seq,frame.len,radiotap.dbm_antsignal
"1","Jun  5, 2025 00:42:55.643365258 CEST","14:14:59:5a:be:ec","4047","367","-60"
"2","Jun  5, 2025 00:42:55.654848003 CEST","40:ee:dd:0e:38:54","2156","305","-75"
"3","Jun  5, 2025 00:42:55.688056206 CEST","f2:42:89:7e:73:bd","2900","458","-73"
"6","Jun  5, 2025 00:42:55.703419542 CEST","26:59:43:64:4c:4a","1665","453","-82"
"7","Jun  5, 2025 00:42:55.745783309 CEST","14:14:59:5a:be:ec","4048","367","-58"
"10","Jun  5, 2025 00:42:55.755165508 CEST","40:ee:dd:0e:38:54","2157","305","-75"
"11","Jun  5, 2025 00:42:55.805817829 CEST","26:59:43:64:4c:4a","1666","453","-82"
"12","Jun  5, 2025 00:42:55.836309486 CEST","3a:07:16:c6:72:54","3570","384","-74"
"13","Jun  5, 2025 00:42:55.848120695 CEST","14:14:59:5a:be:ec","4049","367","-58"
"14","Jun  5, 2025 00:42:55.892841256 CEST","f2:42:89:7e:73:bd","2902","458","-72"
"16","Jun  5, 2025 00:42:55.908655976 CEST","26:59:43:64:4c:4a","1668","453","-82"
"17","Jun  5, 2025 00:42:55.950536442 CEST","14:14:59:5a:be:ec","4050","367","-59"
"18","Jun  5, 2025 00:42:55.955858348 CEST","40:ee:dd:0e:38:54","2159","305","-77"
"19","Jun  5, 2025 00:42:55.977241514 CEST","d4:1a:d1:dc:0c:e1","219","375","-82"
"23","Jun  5, 2025 00:42:56.010610003 CEST","26:59:43:64:4c:4a","1669","453","-80"
"27","Jun  5, 2025 00:42:56.052915871 CEST","14:14:59:5a:be:ec","4051","367","-57"
"35","Jun  5, 2025 00:42:56.097640693 CEST","f2:42:89:7e:73:bd","2904","458","-73"
"36","Jun  5, 2025 00:42:56.113008988 CEST","26:59:43:64:4c:4a","1670","453","-82"
"41","Jun  5, 2025 00:42:56.155326241 CEST","14:14:59:5a:be:ec","4054","367","-59"
"42","Jun  5, 2025 00:42:56.200053856 CEST","f2:42:89:7e:73:bd","2905","458","-75"
"43","Jun  5, 2025 00:42:56.204680143 CEST","3a:07:16:c6:72:54","3573","384","-74"
"44","Jun  5, 2025 00:42:56.215423338 CEST","26:59:43:64:4c:4a","1671","453","-82"
"58","Jun  5, 2025 00:42:56.303422168 CEST","f2:42:89:7e:73:bd","2906","458","-73"
"59","Jun  5, 2025 00:42:56.317811498 CEST","26:59:43:64:4c:4a","1672","453","-81"
"60","Jun  5, 2025 00:42:56.327541786 CEST","3a:07:16:c6:72:54","3574","384","-75"
"65","Jun  5, 2025 00:42:56.357286630 CEST","40:ee:dd:0e:38:54","2163","305","-75"
"66","Jun  5, 2025 00:42:56.360116040 CEST","14:14:59:5a:be:ec","4057","367","-58"
"67","Jun  5, 2025 00:42:56.386853029 CEST","d4:1a:d1:dc:0c:e1","223","375","-80"
"68","Jun  5, 2025 00:42:56.404836601 CEST","f2:42:89:7e:73:bd","2907","458","-73"
