frame.number,frame.time,wlan.sa,wlan.seq,frame.len,radiotap.dbm_antsignal
"1","Jun  5, 2025 00:31:53.730660350 CEST","14:14:59:5a:be:ec","3758","367","-57"
"9","Jun  5, 2025 00:31:53.782358474 CEST","f2:42:89:7e:73:bd","261","458","-69"
"10","Jun  5, 2025 00:31:53.816948697 CEST","84:a9:c4:77:77:fe","2227","260","-86"
"11","Jun  5, 2025 00:31:53.833077494 CEST","14:14:59:5a:be:ec","3759","367","-56"
"12","Jun  5, 2025 00:31:53.884732596 CEST","f2:42:89:7e:73:bd","262","458","-69"
"13","Jun  5, 2025 00:31:53.890873321 CEST","26:59:43:64:4c:4a","2859","453","-85"
"14","Jun  5, 2025 00:31:53.935451546 CEST","14:14:59:5a:be:ec","3760","367","-57"
"25","Jun  5, 2025 00:31:54.037868201 CEST","14:14:59:5a:be:ec","3762","367","-57"
"28","Jun  5, 2025 00:31:54.089564649 CEST","f2:42:89:7e:73:bd","264","458","-70"
"38","Jun  5, 2025 00:31:54.140291142 CEST","14:14:59:5a:be:ec","3763","367","-57"
"46","Jun  5, 2025 00:31:54.192899507 CEST","f2:42:89:7e:73:bd","265","458","-70"
"49","Jun  5, 2025 00:31:54.242616235 CEST","14:14:59:5a:be:ec","3765","367","-55"
"54","Jun  5, 2025 00:31:54.294653997 CEST","f2:42:89:7e:73:bd","266","458","-69"
"55","Jun  5, 2025 00:31:54.345028280 CEST","14:14:59:5a:be:ec","3767","367","-56"
"58","Jun  5, 2025 00:31:54.396900170 CEST","f2:42:89:7e:73:bd","267","458","-70"
"64","Jun  5, 2025 00:31:54.447462815 CEST","14:14:59:5a:be:ec","3768","367","-56"
"65","Jun  5, 2025 00:31:54.501472127 CEST","f2:42:89:7e:73:bd","268","458","-70"
"66","Jun  5, 2025 00:31:54.549820663 CEST","14:14:59:5a:be:ec","3769","367","-57"
"67","Jun  5, 2025 00:31:54.601749613 CEST","f2:42:89:7e:73:bd","269","458","-70"
"68","Jun  5, 2025 00:31:54.652532607 CEST","14:14:59:5a:be:ec","3770","367","-56"
"69","Jun  5, 2025 00:31:54.706026281 CEST","f2:42:89:7e:73:bd","270","458","-69"
"70","Jun  5, 2025 00:31:54.754623662 CEST","14:14:59:5a:be:ec","3771","367","-56"
"79","Jun  5, 2025 00:31:54.807596949 CEST","f2:42:89:7e:73:bd","271","458","-70"
"82","Jun  5, 2025 00:31:54.857029772 CEST","14:14:59:5a:be:ec","3773","367","-57"
"83","Jun  5, 2025 00:31:54.909815674 CEST","f2:42:89:7e:73:bd","272","458","-68"
"86","Jun  5, 2025 00:31:54.959417861 CEST","14:14:59:5a:be:ec","3774","367","-55"
"93","Jun  5, 2025 00:31:55.011116615 CEST","f2:42:89:7e:73:bd","273","458","-70"
"98","Jun  5, 2025 00:31:55.063018536 CEST","14:14:59:5a:be:ec","3776","367","-56"
"103","Jun  5, 2025 00:31:55.113527333 CEST","f2:42:89:7e:73:bd","275","458","-70"
"109","Jun  5, 2025 00:31:55.164524251 CEST","14:14:59:5a:be:ec","3777","367","-55"
"110","Jun  5, 2025 00:31:55.215922407 CEST","f2:42:89:7e:73:bd","276","458","-69"
"111","Jun  5, 2025 00:31:55.222131507 CEST","26:59:43:64:4c:4a","2874","453","-85"
"112","Jun  5, 2025 00:31:55.266685287 CEST","14:14:59:5a:be:ec","3778","367","-55"
"113","Jun  5, 2025 00:31:55.318332358 CEST","f2:42:89:7e:73:bd","277","458","-69"
"114","Jun  5, 2025 00:31:55.324485514 CEST","26:59:43:64:4c:4a","2875","453","-83"
"117","Jun  5, 2025 00:31:55.369066602 CEST","14:14:59:5a:be:ec","3779","367","-54"
"120","Jun  5, 2025 00:31:55.424155172 CEST","f2:42:89:7e:73:bd","278","459","-68"
"121","Jun  5, 2025 00:31:55.471414743 CEST","14:14:59:5a:be:ec","3780","367","-54"
"130","Jun  5, 2025 00:31:55.523114474 CEST","f2:42:89:7e:73:bd","279","458","-69"
"131","Jun  5, 2025 00:31:55.529291447 CEST","26:59:43:64:4c:4a","2877","453","-87"
"134","Jun  5, 2025 00:31:55.573821690 CEST","14:14:59:5a:be:ec","3781","367","-53"
"135","Jun  5, 2025 00:31:55.593892050 CEST","d2:2d:06:4a:40:f5","392","437","-87"
"136","Jun  5, 2025 00:31:55.598854133 CEST","d4:1a:d1:dc:0c:e1","1962","375","-81"
"137","Jun  5, 2025 00:31:55.626474825 CEST","f2:42:89:7e:73:bd","280","458","-68"
"138","Jun  5, 2025 00:31:55.676236530 CEST","14:14:59:5a:be:ec","3782","367","-53"
"139","Jun  5, 2025 00:31:55.727913422 CEST","f2:42:89:7e:73:bd","281","458","-69"
"140","Jun  5, 2025 00:31:55.734090325 CEST","26:59:43:64:4c:4a","2879","453","-86"
"141","Jun  5, 2025 00:31:55.778632442 CEST","14:14:59:5a:be:ec","3783","367","-54"
"143","Jun  5, 2025 00:31:55.881065789 CEST","14:14:59:5a:be:ec","3784","367","-55"
"156","Jun  5, 2025 00:31:55.938872442 CEST","26:59:43:64:4c:4a","2885","453","-86"
"159","Jun  5, 2025 00:31:55.983439701 CEST","14:14:59:5a:be:ec","3786","367","-57"
"166","Jun  5, 2025 00:31:56.041294335 CEST","26:59:43:64:4c:4a","2886","453","-86"
"171","Jun  5, 2025 00:31:56.085918655 CEST","14:14:59:5a:be:ec","3787","367","-55"
"184","Jun  5, 2025 00:31:56.110826012 CEST","d4:1a:d1:dc:0c:e1","1967","375","-84"
"185","Jun  5, 2025 00:31:56.137504963 CEST","f2:42:89:7e:73:bd","286","458","-69"
"186","Jun  5, 2025 00:31:56.143692622 CEST","26:59:43:64:4c:4a","2887","453","-86"
"189","Jun  5, 2025 00:31:56.188271265 CEST","14:14:59:5a:be:ec","3791","367","-55"
"205","Jun  5, 2025 00:31:56.290648390 CEST","14:14:59:5a:be:ec","3792","367","-55"
"214","Jun  5, 2025 00:31:56.315676643 CEST","d4:1a:d1:dc:0c:e1","1969","375","-83"
"215","Jun  5, 2025 00:31:56.342390445 CEST","f2:42:89:7e:73:bd","288","458","-68"
"222","Jun  5, 2025 00:31:56.393035921 CEST","14:14:59:5a:be:ec","3795","367","-55"
"225","Jun  5, 2025 00:31:56.418038822 CEST","d4:1a:d1:dc:0c:e1","1970","375","-82"
"226","Jun  5, 2025 00:31:56.444713722 CEST","f2:42:89:7e:73:bd","289","458","-69"
"227","Jun  5, 2025 00:31:56.450894606 CEST","26:59:43:64:4c:4a","2890","453","-87"
"232","Jun  5, 2025 00:31:56.495436723 CEST","14:14:59:5a:be:ec","3796","367","-55"
"233","Jun  5, 2025 00:31:56.520437318 CEST","d4:1a:d1:dc:0c:e1","1971","375","-83"
"234","Jun  5, 2025 00:31:56.548062758 CEST","f2:42:89:7e:73:bd","290","458","-67"
"235","Jun  5, 2025 00:31:56.553291496 CEST","26:59:43:64:4c:4a","2891","453","-86"
"236","Jun  5, 2025 00:31:56.597831448 CEST","14:14:59:5a:be:ec","3797","367","-56"
"237","Jun  5, 2025 00:31:56.651738512 CEST","f2:42:89:7e:73:bd","291","458","-68"
"238","Jun  5, 2025 00:31:56.700228757 CEST","14:14:59:5a:be:ec","3798","367","-55"
"239","Jun  5, 2025 00:31:56.751975770 CEST","f2:42:89:7e:73:bd","292","458","-69"
"240","Jun  5, 2025 00:31:56.758090165 CEST","26:59:43:64:4c:4a","2893","453","-86"
"241","Jun  5, 2025 00:31:56.802639056 CEST","14:14:59:5a:be:ec","3799","367","-55"
"252","Jun  5, 2025 00:31:56.854304774 CEST","f2:42:89:7e:73:bd","293","458","-68"
"260","Jun  5, 2025 00:31:56.905017997 CEST","14:14:59:5a:be:ec","3801","367","-56"
"262","Jun  5, 2025 00:31:56.958458382 CEST","f2:42:89:7e:73:bd","294","458","-68"
"263","Jun  5, 2025 00:31:56.962926548 CEST","26:59:43:64:4c:4a","2895","453","-86"
"269","Jun  5, 2025 00:31:57.007415585 CEST","14:14:59:5a:be:ec","3802","367","-54"
"270","Jun  5, 2025 00:31:57.059103513 CEST","f2:42:89:7e:73:bd","295","458","-68"
"271","Jun  5, 2025 00:31:57.065308422 CEST","26:59:43:64:4c:4a","2896","453","-82"
"272","Jun  5, 2025 00:31:57.109975974 CEST","14:14:59:5a:be:ec","3803","367","-54"
"281","Jun  5, 2025 00:31:57.161525336 CEST","f2:42:89:7e:73:bd","296","459","-68"
"282","Jun  5, 2025 00:31:57.212242889 CEST","14:14:59:5a:be:ec","3804","367","-54"
"284","Jun  5, 2025 00:31:57.250139049 CEST","40:ee:dd:0e:38:54","3109","305","-87"
"285","Jun  5, 2025 00:31:57.263914404 CEST","f2:42:89:7e:73:bd","297","458","-68"
"290","Jun  5, 2025 00:31:57.314642293 CEST","14:14:59:5a:be:ec","3805","367","-55"
"299","Jun  5, 2025 00:31:57.366859408 CEST","f2:42:89:7e:73:bd","298","458","-68"
"300","Jun  5, 2025 00:31:57.372502165 CEST","26:59:43:64:4c:4a","2899","453","-86"
"305","Jun  5, 2025 00:31:57.470471397 CEST","f2:42:89:7e:73:bd","299","458","-69"
"306","Jun  5, 2025 00:31:57.474896471 CEST","26:59:43:64:4c:4a","2900","453","-87"
"314","Jun  5, 2025 00:31:57.519420848 CEST","14:14:59:5a:be:ec","3808","367","-54"
"321","Jun  5, 2025 00:31:57.544430872 CEST","d4:1a:d1:dc:0c:e1","1981","375","-83"
"324","Jun  5, 2025 00:31:57.571084890 CEST","f2:42:89:7e:73:bd","300","458","-69"
"325","Jun  5, 2025 00:31:57.577301672 CEST","26:59:43:64:4c:4a","2901","453","-86"
"326","Jun  5, 2025 00:31:57.621830798 CEST","14:14:59:5a:be:ec","3810","367","-54"
"330","Jun  5, 2025 00:31:57.673506783 CEST","f2:42:89:7e:73:bd","301","458","-69"
"333","Jun  5, 2025 00:31:57.724272107 CEST","14:14:59:5a:be:ec","3812","367","-55"
"334","Jun  5, 2025 00:31:57.749232404 CEST","d4:1a:d1:dc:0c:e1","1983","375","-83"
"335","Jun  5, 2025 00:31:57.775886003 CEST","f2:42:89:7e:73:bd","302","458","-68"
"336","Jun  5, 2025 00:31:57.782113122 CEST","26:59:43:64:4c:4a","2904","453","-86"
