frame.number,frame.time,wlan.sa,wlan.seq,frame.len,radiotap.dbm_antsignal
"1","Jun 12, 2025 21:11:32.436342317 CEST","40:ee:dd:0e:38:54","1141","305","-71"
"3","Jun 12, 2025 21:11:32.467180247 CEST","e6:94:ad:6a:0e:ba","2239","453","-71"
"5","Jun 12, 2025 21:11:32.590368468 CEST","f2:42:89:7e:73:bd","2495","458","-71"
"6","Jun 12, 2025 21:11:32.636962033 CEST","40:ee:dd:0e:38:54","1143","305","-65"
"10","Jun 12, 2025 21:11:32.737308941 CEST","40:ee:dd:0e:38:54","1144","305","-70"
"14","Jun 12, 2025 21:11:32.774336625 CEST","e6:94:ad:6a:0e:ba","2243","453","-70"
"15","Jun 12, 2025 21:11:32.779327203 CEST","c4:ea:1d:53:75:c3","1867","243","-75"
"16","Jun 12, 2025 21:11:32.824399904 CEST","3a:07:16:cb:a7:f4","1598","384","-65"
"17","Jun 12, 2025 21:11:32.837683507 CEST","40:ee:dd:0e:38:54","1145","305","-71"
"18","Jun 12, 2025 21:11:32.877320321 CEST","e6:94:ad:6a:0e:ba","2244","453","-71"
"26","Jun 12, 2025 21:11:32.938018822 CEST","40:ee:dd:0e:38:54","1146","305","-72"
"27","Jun 12, 2025 21:11:32.982024767 CEST","e6:94:ad:6a:0e:ba","2248","453","-70"
"30","Jun 12, 2025 21:11:33.038384239 CEST","40:ee:dd:0e:38:54","1147","305","-72"
"31","Jun 12, 2025 21:11:33.070170613 CEST","3a:07:16:cb:a7:f4","1600","384","-67"
"32","Jun 12, 2025 21:11:33.081546292 CEST","e6:94:ad:6a:0e:ba","2250","453","-70"
"33","Jun 12, 2025 21:11:33.102749407 CEST","f2:42:89:7e:73:bd","2500","458","-71"
"36","Jun 12, 2025 21:11:33.183931797 CEST","e6:94:ad:6a:0e:ba","2251","453","-70"
"37","Jun 12, 2025 21:11:33.188910014 CEST","c4:ea:1d:53:75:c3","1872","243","-73"
"38","Jun 12, 2025 21:11:33.204774951 CEST","f2:42:89:7e:73:bd","2501","458","-71"
"39","Jun 12, 2025 21:11:33.239089300 CEST","40:ee:dd:0e:38:54","1149","305","-72"
"40","Jun 12, 2025 21:11:33.285169113 CEST","e6:94:ad:6a:0e:ba","2252","453","-70"
"41","Jun 12, 2025 21:11:33.339445498 CEST","40:ee:dd:0e:38:54","1150","305","-70"
"42","Jun 12, 2025 21:11:33.388743317 CEST","e6:94:ad:6a:0e:ba","2253","453","-70"
"43","Jun 12, 2025 21:11:33.393705051 CEST","c4:ea:1d:53:75:c3","1877","243","-74"
"45","Jun 12, 2025 21:11:33.460525560 CEST","e0:19:54:9b:51:24","2323","327","-79"
"46","Jun 12, 2025 21:11:33.491130429 CEST","e6:94:ad:6a:0e:ba","2254","453","-71"
"47","Jun 12, 2025 21:11:33.496097402 CEST","c4:ea:1d:53:75:c3","1881","243","-75"
"48","Jun 12, 2025 21:11:33.593590875 CEST","e6:94:ad:6a:0e:ba","2255","453","-71"
"50","Jun 12, 2025 21:11:33.665250756 CEST","e0:19:54:9b:51:24","2325","327","-80"
"51","Jun 12, 2025 21:11:33.695949492 CEST","e6:94:ad:6a:0e:ba","2256","453","-71"
"52","Jun 12, 2025 21:11:33.701064458 CEST","c4:ea:1d:53:75:c3","1883","243","-76"
"53","Jun 12, 2025 21:11:33.740949558 CEST","40:ee:dd:0e:38:54","1153","305","-72"
"55","Jun 12, 2025 21:11:33.797144483 CEST","e6:94:ad:6a:0e:ba","2258","453","-71"
"56","Jun 12, 2025 21:11:33.803333119 CEST","c4:ea:1d:53:75:c3","1884","243","-76"
"57","Jun 12, 2025 21:11:33.843937515 CEST","40:ee:dd:0e:38:54","1154","305","-73"
"59","Jun 12, 2025 21:11:33.950519644 CEST","40:ee:dd:0e:38:54","1155","305","-71"
"60","Jun 12, 2025 21:11:34.003157971 CEST","e6:94:ad:6a:0e:ba","2260","453","-71"
"61","Jun 12, 2025 21:11:34.008110766 CEST","c4:ea:1d:53:75:c3","1886","243","-75"
"62","Jun 12, 2025 21:11:34.021492426 CEST","f2:42:89:7e:73:bd","2509","458","-72"
"63","Jun 12, 2025 21:11:34.041889014 CEST","40:ee:dd:0e:38:54","1156","305","-70"
"64","Jun 12, 2025 21:11:34.105556188 CEST","e6:94:ad:6a:0e:ba","2261","453","-72"
"65","Jun 12, 2025 21:11:34.123889036 CEST","f2:42:89:7e:73:bd","2510","458","-72"
"66","Jun 12, 2025 21:11:34.142242557 CEST","40:ee:dd:0e:38:54","1157","305","-68"
"67","Jun 12, 2025 21:11:34.176085828 CEST","3a:07:16:cb:a7:f4","1609","384","-64"
"68","Jun 12, 2025 21:11:34.207952869 CEST","e6:94:ad:6a:0e:ba","2262","453","-73"
"69","Jun 12, 2025 21:11:34.242664685 CEST","40:ee:dd:0e:38:54","1158","305","-68"
"70","Jun 12, 2025 21:11:34.310379092 CEST","e6:94:ad:6a:0e:ba","2263","453","-73"
"72","Jun 12, 2025 21:11:34.413082236 CEST","e6:94:ad:6a:0e:ba","2264","453","-72"
"73","Jun 12, 2025 21:11:34.443290407 CEST","40:ee:dd:0e:38:54","1160","305","-70"
"75","Jun 12, 2025 21:11:34.515123425 CEST","e6:94:ad:6a:0e:ba","2265","453","-71"
"76","Jun 12, 2025 21:11:34.543640738 CEST","40:ee:dd:0e:38:54","1161","305","-69"
"77","Jun 12, 2025 21:11:34.617570321 CEST","e6:94:ad:6a:0e:ba","2266","454","-71"
"80","Jun 12, 2025 21:11:34.646855470 CEST","40:ee:dd:0e:38:54","1162","305","-69"
"81","Jun 12, 2025 21:11:34.667902699 CEST","3a:07:16:cb:a7:f4","1613","384","-66"
"82","Jun 12, 2025 21:11:34.719980620 CEST","e6:94:ad:6a:0e:ba","2267","453","-71"
"83","Jun 12, 2025 21:11:34.746858061 CEST","40:ee:dd:0e:38:54","1163","305","-67"
"84","Jun 12, 2025 21:11:34.790481555 CEST","3a:07:16:cb:a7:f4","1614","384","-65"
"85","Jun 12, 2025 21:11:34.822391269 CEST","e6:94:ad:6a:0e:ba","2268","453","-71"
"87","Jun 12, 2025 21:11:34.943787712 CEST","f2:42:89:7e:73:bd","2519","458","-74"
"88","Jun 12, 2025 21:11:35.027683925 CEST","e6:94:ad:6a:0e:ba","2270","453","-70"
"90","Jun 12, 2025 21:11:35.129547019 CEST","e6:94:ad:6a:0e:ba","2271","453","-71"
"91","Jun 12, 2025 21:11:35.231938601 CEST","e6:94:ad:6a:0e:ba","2272","453","-71"
"93","Jun 12, 2025 21:11:35.246123994 CEST","40:ee:dd:0e:38:54","1170","305","-70"
"94","Jun 12, 2025 21:11:35.250277106 CEST","f2:42:89:7e:73:bd","2522","458","-75"
"95","Jun 12, 2025 21:11:35.346469995 CEST","40:ee:dd:0e:38:54","1171","305","-71"
"96","Jun 12, 2025 21:11:35.404875397 CEST","3a:07:16:cb:a7:f4","1619","384","-65"
"97","Jun 12, 2025 21:11:35.436733428 CEST","e6:94:ad:6a:0e:ba","2274","453","-71"
"98","Jun 12, 2025 21:11:35.446814878 CEST","40:ee:dd:0e:38:54","1172","305","-70"
"99","Jun 12, 2025 21:11:35.455074448 CEST","f2:42:89:7e:73:bd","2524","458","-74"
"100","Jun 12, 2025 21:11:35.527744303 CEST","3a:07:16:cb:a7:f4","1620","384","-64"
"101","Jun 12, 2025 21:11:35.547149704 CEST","40:ee:dd:0e:38:54","1173","305","-71"
"103","Jun 12, 2025 21:11:35.647517635 CEST","40:ee:dd:0e:38:54","1174","305","-69"
"107","Jun 12, 2025 21:11:35.713260422 CEST","e0:19:54:9b:51:24","2360","327","-80"
"109","Jun 12, 2025 21:11:35.773565507 CEST","3a:07:16:cb:a7:f4","1622","384","-66"
"110","Jun 12, 2025 21:11:35.949599066 CEST","e6:94:ad:6a:0e:ba","2279","453","-70"
"111","Jun 12, 2025 21:11:36.149287448 CEST","40:ee:dd:0e:38:54","1179","305","-72"
"112","Jun 12, 2025 21:11:36.153556147 CEST","e6:94:ad:6a:0e:ba","2281","453","-72"
"113","Jun 12, 2025 21:11:36.249835010 CEST","40:ee:dd:0e:38:54","1180","305","-71"
"114","Jun 12, 2025 21:11:36.256062339 CEST","e6:94:ad:6a:0e:ba","2282","453","-73"
"115","Jun 12, 2025 21:11:36.382091494 CEST","f2:42:89:7e:73:bd","2536","458","-71"
"116","Jun 12, 2025 21:11:36.460747166 CEST","e6:94:ad:6a:0e:ba","2284","453","-73"
"117","Jun 12, 2025 21:11:36.479059271 CEST","f2:42:89:7e:73:bd","2537","458","-72"
"118","Jun 12, 2025 21:11:36.510776503 CEST","3a:07:16:cb:a7:f4","1628","384","-66"
"119","Jun 12, 2025 21:11:36.556259941 CEST","40:ee:dd:0e:38:54","1183","305","-72"
"120","Jun 12, 2025 21:11:36.581471736 CEST","f2:42:89:7e:73:bd","2538","458","-73"
"121","Jun 12, 2025 21:11:36.651532251 CEST","40:ee:dd:0e:38:54","1184","305","-71"
"122","Jun 12, 2025 21:11:36.665613162 CEST","e6:94:ad:6a:0e:ba","2286","453","-73"
"123","Jun 12, 2025 21:11:36.684126969 CEST","f2:42:89:7e:73:bd","2539","458","-72"
"124","Jun 12, 2025 21:11:36.756534571 CEST","3a:07:16:cb:a7:f4","1630","384","-66"
"125","Jun 12, 2025 21:11:36.788798450 CEST","f2:42:89:7e:73:bd","2540","458","-72"
"126","Jun 12, 2025 21:11:36.875288708 CEST","c4:ea:1d:53:75:c3","1918","243","-76"
"128","Jun 12, 2025 21:11:36.953052158 CEST","40:ee:dd:0e:38:54","1187","305","-72"
"129","Jun 12, 2025 21:11:37.055156204 CEST","40:ee:dd:0e:38:54","1188","305","-72"
"130","Jun 12, 2025 21:11:37.075153440 CEST","e6:94:ad:6a:0e:ba","2290","453","-72"
"133","Jun 12, 2025 21:11:37.177540272 CEST","e6:94:ad:6a:0e:ba","2291","453","-73"
"136","Jun 12, 2025 21:11:37.248053010 CEST","3a:07:16:cb:a7:f4","1634","384","-66"
"142","Jun 12, 2025 21:11:37.370948247 CEST","3a:07:16:cb:a7:f4","1635","384","-64"
"143","Jun 12, 2025 21:11:37.403211358 CEST","f2:42:89:7e:73:bd","2550","458","-71"
"144","Jun 12, 2025 21:11:37.489677451 CEST","c4:ea:1d:53:75:c3","1924","243","-75"
"145","Jun 12, 2025 21:11:37.554190055 CEST","40:ee:dd:0e:38:54","1194","305","-72"
"146","Jun 12, 2025 21:11:37.587156956 CEST","e6:94:ad:6a:0e:ba","2295","453","-72"
"147","Jun 12, 2025 21:11:37.616689553 CEST","3a:07:16:cb:a7:f4","1637","384","-65"
"148","Jun 12, 2025 21:11:37.654527255 CEST","40:ee:dd:0e:38:54","1195","305","-72"
"149","Jun 12, 2025 21:11:37.689531427 CEST","e6:94:ad:6a:0e:ba","2296","453","-72"
"150","Jun 12, 2025 21:11:37.694472069 CEST","c4:ea:1d:53:75:c3","1926","243","-75"
"151","Jun 12, 2025 21:11:37.741105723 CEST","3a:07:16:cb:a7:f4","1638","384","-64"
"152","Jun 12, 2025 21:11:37.754876259 CEST","40:ee:dd:0e:38:54","1196","305","-72"
"153","Jun 12, 2025 21:11:37.791939981 CEST","e6:94:ad:6a:0e:ba","2297","453","-72"
"154","Jun 12, 2025 21:11:37.812833210 CEST","f2:42:89:7e:73:bd","2554","458","-71"
"155","Jun 12, 2025 21:11:37.955606184 CEST","40:ee:dd:0e:38:54","1198","305","-72"
"156","Jun 12, 2025 21:11:37.985331962 CEST","3a:07:16:cb:a7:f4","1640","384","-65"
"157","Jun 12, 2025 21:11:37.996860313 CEST","e6:94:ad:6a:0e:ba","2299","453","-72"
"158","Jun 12, 2025 21:11:38.056297131 CEST","40:ee:dd:0e:38:54","1199","305","-73"
"159","Jun 12, 2025 21:11:38.104710620 CEST","c4:ea:1d:53:75:c3","1932","243","-76"
"160","Jun 12, 2025 21:11:38.156304402 CEST","40:ee:dd:0e:38:54","1200","305","-71"
"161","Jun 12, 2025 21:11:38.206493256 CEST","c4:ea:1d:53:75:c3","1933","243","-76"
"162","Jun 12, 2025 21:11:38.235063858 CEST","3a:07:16:cb:a7:f4","1642","384","-66"
"163","Jun 12, 2025 21:11:38.256639507 CEST","40:ee:dd:0e:38:54","1201","305","-71"
"164","Jun 12, 2025 21:11:38.361532874 CEST","3a:07:16:cb:a7:f4","1643","384","-66"
"165","Jun 12, 2025 21:11:38.425480461 CEST","f2:42:89:7e:73:bd","2562","458","-71"
"168","Jun 12, 2025 21:11:38.559547719 CEST","40:ee:dd:0e:38:54","1204","305","-71"
"169","Jun 12, 2025 21:11:38.611152256 CEST","e6:94:ad:6a:0e:ba","2305","453","-72"
"171","Jun 12, 2025 21:11:38.661020818 CEST","40:ee:dd:0e:38:54","1205","305","-71"
"176","Jun 12, 2025 21:11:38.859827664 CEST","40:ee:dd:0e:38:54","1208","305","-71"
"177","Jun 12, 2025 21:11:38.923486108 CEST","c4:ea:1d:53:75:c3","1947","243","-75"
"178","Jun 12, 2025 21:11:38.960183582 CEST","40:ee:dd:0e:38:54","1209","305","-70"
"179","Jun 12, 2025 21:11:39.091258979 CEST","3a:07:16:cb:a7:f4","1649","384","-65"
"181","Jun 12, 2025 21:11:39.123121132 CEST","e6:94:ad:6a:0e:ba","2310","453","-72"
"183","Jun 12, 2025 21:11:39.224399025 CEST","e6:94:ad:6a:0e:ba","2311","453","-72"
"184","Jun 12, 2025 21:11:39.260247717 CEST","40:ee:dd:0e:38:54","1212","305","-73"
"185","Jun 12, 2025 21:11:39.327953115 CEST","e6:94:ad:6a:0e:ba","2312","453","-72"
"186","Jun 12, 2025 21:11:39.361158944 CEST","40:ee:dd:0e:38:54","1213","305","-72"
"189","Jun 12, 2025 21:11:39.532862901 CEST","e6:94:ad:6a:0e:ba","2316","453","-72"
"190","Jun 12, 2025 21:11:39.562051110 CEST","40:ee:dd:0e:38:54","1215","305","-67"
"191","Jun 12, 2025 21:11:39.640137716 CEST","c4:ea:1d:53:75:c3","1955","243","-74"
"192","Jun 12, 2025 21:11:39.737535507 CEST","e6:94:ad:6a:0e:ba","2319","453","-72"
"193","Jun 12, 2025 21:11:39.743651508 CEST","c4:ea:1d:53:75:c3","1956","243","-75"
"194","Jun 12, 2025 21:11:39.764528813 CEST","40:ee:dd:0e:38:54","1217","305","-71"
"195","Jun 12, 2025 21:11:39.809306435 CEST","e0:19:54:9b:51:24","2421","327","-80"
"196","Jun 12, 2025 21:11:39.830274534 CEST","3a:07:16:cb:a7:f4","1655","384","-64"
"198","Jun 12, 2025 21:11:39.870075895 CEST","40:ee:dd:0e:38:54","1220","305","-72"
"203","Jun 12, 2025 21:11:39.947284107 CEST","c4:ea:1d:53:75:c3","1959","243","-74"
"204","Jun 12, 2025 21:11:39.951397409 CEST","3a:07:16:cb:a7:f4","1656","384","-65"
"205","Jun 12, 2025 21:11:39.960623233 CEST","f2:42:89:7e:73:bd","2577","458","-69"
"206","Jun 12, 2025 21:11:40.044752716 CEST","e6:94:ad:6a:0e:ba","2322","453","-73"
"207","Jun 12, 2025 21:11:40.063472136 CEST","40:ee:dd:0e:38:54","1222","305","-72"
"208","Jun 12, 2025 21:11:40.067195933 CEST","f2:42:89:7e:73:bd","2578","458","-68"
"209","Jun 12, 2025 21:11:40.147152400 CEST","e6:94:ad:6a:0e:ba","2323","453","-72"
