frame.number,frame.time,wlan.sa,wlan.seq,frame.len,radiotap.dbm_antsignal
"5","Jun  5, 2025 00:37:36.155757363 CEST","14:14:59:5a:be:ec","3953","367","-58"
"8","Jun  5, 2025 00:37:36.169022527 CEST","d2:2d:06:4a:40:f5","3765","437","-82"
"9","Jun  5, 2025 00:37:36.203849163 CEST","f2:42:89:7e:73:bd","3755","458","-75"
"10","Jun  5, 2025 00:37:36.214791197 CEST","26:59:43:64:4c:4a","2390","453","-83"
"15","Jun  5, 2025 00:37:36.236749436 CEST","40:ee:dd:0e:38:54","2752","305","-84"
"21","Jun  5, 2025 00:37:36.258150132 CEST","14:14:59:5a:be:ec","3954","367","-57"
"33","Jun  5, 2025 00:37:36.306242980 CEST","f2:42:89:7e:73:bd","3756","458","-74"
"34","Jun  5, 2025 00:37:36.317165528 CEST","26:59:43:64:4c:4a","2391","453","-84"
"39","Jun  5, 2025 00:37:36.360550165 CEST","14:14:59:5a:be:ec","3956","367","-57"
"50","Jun  5, 2025 00:37:36.419565212 CEST","26:59:43:64:4c:4a","2392","453","-84"
"51","Jun  5, 2025 00:37:36.437420834 CEST","40:ee:dd:0e:38:54","2754","305","-83"
"52","Jun  5, 2025 00:37:36.462945379 CEST","14:14:59:5a:be:ec","3957","367","-58"
"53","Jun  5, 2025 00:37:36.511039204 CEST","f2:42:89:7e:73:bd","3758","458","-73"
"54","Jun  5, 2025 00:37:36.521964057 CEST","26:59:43:64:4c:4a","2393","453","-83"
"55","Jun  5, 2025 00:37:36.565410504 CEST","14:14:59:5a:be:ec","3958","367","-59"
"58","Jun  5, 2025 00:37:36.578591579 CEST","d2:2d:06:4a:40:f5","3769","437","-80"
"60","Jun  5, 2025 00:37:36.613432882 CEST","f2:42:89:7e:73:bd","3759","458","-73"
"61","Jun  5, 2025 00:37:36.624377081 CEST","26:59:43:64:4c:4a","2394","453","-83"
"62","Jun  5, 2025 00:37:36.638114232 CEST","40:ee:dd:0e:38:54","2756","305","-82"
"63","Jun  5, 2025 00:37:36.667791959 CEST","14:14:59:5a:be:ec","3959","367","-60"
"71","Jun  5, 2025 00:37:36.680987911 CEST","d2:2d:06:4a:40:f5","3770","437","-80"
"72","Jun  5, 2025 00:37:36.717423759 CEST","f2:42:89:7e:73:bd","3760","458","-73"
"73","Jun  5, 2025 00:37:36.726791990 CEST","26:59:43:64:4c:4a","2395","453","-81"
"84","Jun  5, 2025 00:37:36.783405474 CEST","d2:2d:06:4a:40:f5","3771","437","-81"
"86","Jun  5, 2025 00:37:36.818244750 CEST","f2:42:89:7e:73:bd","3761","458","-74"
"87","Jun  5, 2025 00:37:36.829175610 CEST","26:59:43:64:4c:4a","2396","453","-83"
"88","Jun  5, 2025 00:37:36.838822018 CEST","40:ee:dd:0e:38:54","2758","305","-83"
"93","Jun  5, 2025 00:37:36.872571840 CEST","14:14:59:5a:be:ec","3963","367","-60"
"94","Jun  5, 2025 00:37:36.885786859 CEST","d2:2d:06:4a:40:f5","3772","437","-80"
"95","Jun  5, 2025 00:37:36.920632840 CEST","f2:42:89:7e:73:bd","3762","458","-75"
"96","Jun  5, 2025 00:37:36.931809262 CEST","26:59:43:64:4c:4a","2397","453","-83"
"99","Jun  5, 2025 00:37:37.023038181 CEST","f2:42:89:7e:73:bd","3763","458","-74"
"100","Jun  5, 2025 00:37:37.033980075 CEST","26:59:43:64:4c:4a","2398","453","-84"
"103","Jun  5, 2025 00:37:37.077353608 CEST","14:14:59:5a:be:ec","3965","367","-61"
"104","Jun  5, 2025 00:37:37.109016643 CEST","3a:07:16:cb:a7:f4","2830","384","-84"
