frame.number,frame.time,wlan.sa,wlan.seq,frame.len,radiotap.dbm_antsignal
"1","Jun 12, 2025 20:51:34.789206725 CEST","f2:42:89:7e:73:bd","2188","458","-61"
"2","Jun 12, 2025 20:51:34.807607249 CEST","40:ee:dd:0e:38:54","800","305","-83"
"3","Jun 12, 2025 20:51:34.871551554 CEST","c4:ea:1d:53:75:c3","3468","243","-85"
"4","Jun 12, 2025 20:51:34.891565551 CEST","f2:42:89:7e:73:bd","2189","458","-62"
"5","Jun 12, 2025 20:51:34.907916373 CEST","40:ee:dd:0e:38:54","801","305","-83"
"7","Jun 12, 2025 20:51:34.974210907 CEST","c4:ea:1d:53:75:c3","3470","243","-85"
"8","Jun 12, 2025 20:51:34.993954409 CEST","f2:42:89:7e:73:bd","2190","458","-61"
"9","Jun 12, 2025 20:51:35.008289961 CEST","40:ee:dd:0e:38:54","802","305","-83"
"11","Jun 12, 2025 20:51:35.096360938 CEST","f2:42:89:7e:73:bd","2191","458","-62"
"12","Jun 12, 2025 20:51:35.187339616 CEST","c4:ea:1d:53:75:c3","3474","243","-85"
"13","Jun 12, 2025 20:51:35.198762367 CEST","f2:42:89:7e:73:bd","2192","458","-62"
"14","Jun 12, 2025 20:51:35.208991042 CEST","40:ee:dd:0e:38:54","806","305","-83"
"16","Jun 12, 2025 20:51:35.301157092 CEST","f2:42:89:7e:73:bd","2193","458","-61"
"17","Jun 12, 2025 20:51:35.311539907 CEST","40:ee:dd:0e:38:54","807","305","-83"
"19","Jun 12, 2025 20:51:35.403565925 CEST","f2:42:89:7e:73:bd","2194","458","-62"
"20","Jun 12, 2025 20:51:35.409678434 CEST","40:ee:dd:0e:38:54","808","305","-82"
"21","Jun 12, 2025 20:51:35.505980694 CEST","f2:42:89:7e:73:bd","2195","458","-61"
"22","Jun 12, 2025 20:51:35.588357511 CEST","c4:ea:1d:53:75:c3","3478","243","-83"
"23","Jun 12, 2025 20:51:35.608343641 CEST","f2:42:89:7e:73:bd","2196","458","-62"
"24","Jun 12, 2025 20:51:35.710776779 CEST","f2:42:89:7e:73:bd","2197","458","-61"
"25","Jun 12, 2025 20:51:35.775671065 CEST","3a:07:16:cb:a7:f4","45","384","-82"
"26","Jun 12, 2025 20:51:35.794993564 CEST","c4:ea:1d:53:75:c3","3480","243","-85"
"27","Jun 12, 2025 20:51:35.811106856 CEST","40:ee:dd:0e:38:54","812","305","-81"
"28","Jun 12, 2025 20:51:35.814696349 CEST","f2:42:89:7e:73:bd","2198","458","-60"
