frame.number,frame.time,wlan.sa,wlan.seq,frame.len,radiotap.dbm_antsignal
"1","Jun  5, 2025 00:34:41.206714886 CEST","f2:42:89:7e:73:bd","1972","458","-67"
"12","Jun  5, 2025 00:34:41.256848426 CEST","14:14:59:5a:be:ec","1780","367","-64"
"19","Jun  5, 2025 00:34:41.312235218 CEST","f2:42:89:7e:73:bd","1973","458","-66"
"23","Jun  5, 2025 00:34:41.359212700 CEST","14:14:59:5a:be:ec","1782","367","-64"
"24","Jun  5, 2025 00:34:41.384999150 CEST","d4:1a:d1:dc:0c:e1","3581","375","-84"
"25","Jun  5, 2025 00:34:41.401825102 CEST","84:a9:c4:77:77:fd","3210","256","-79"
"26","Jun  5, 2025 00:34:41.403829966 CEST","84:a9:c4:77:77:fe","3211","260","-80"
"27","Jun  5, 2025 00:34:41.409265364 CEST","f2:42:89:7e:73:bd","1974","458","-66"
"31","Jun  5, 2025 00:34:41.461633825 CEST","14:14:59:5a:be:ec","1783","367","-64"
"33","Jun  5, 2025 00:34:41.513380140 CEST","f2:42:89:7e:73:bd","1975","458","-67"
"34","Jun  5, 2025 00:34:41.563991255 CEST","14:14:59:5a:be:ec","1784","367","-64"
"45","Jun  5, 2025 00:34:41.604532583 CEST","84:a9:c4:77:77:fe","3217","260","-79"
"48","Jun  5, 2025 00:34:41.621071907 CEST","f2:42:89:7e:73:bd","1976","458","-67"
"53","Jun  5, 2025 00:34:41.666439757 CEST","14:14:59:5a:be:ec","1787","367","-65"
"54","Jun  5, 2025 00:34:41.716326199 CEST","f2:42:89:7e:73:bd","1977","458","-66"
"59","Jun  5, 2025 00:34:41.768805847 CEST","14:14:59:5a:be:ec","1788","367","-63"
"60","Jun  5, 2025 00:34:41.822282620 CEST","f2:42:89:7e:73:bd","1978","458","-67"
"61","Jun  5, 2025 00:34:41.871229906 CEST","14:14:59:5a:be:ec","1789","367","-62"
"65","Jun  5, 2025 00:34:41.924152208 CEST","f2:42:89:7e:73:bd","1979","458","-67"
"66","Jun  5, 2025 00:34:41.973640694 CEST","14:14:59:5a:be:ec","1790","367","-64"
"67","Jun  5, 2025 00:34:42.033652795 CEST","f2:42:89:7e:73:bd","1980","458","-66"
"68","Jun  5, 2025 00:34:42.076297324 CEST","14:14:59:5a:be:ec","1791","367","-64"
"72","Jun  5, 2025 00:34:42.126032210 CEST","f2:42:89:7e:73:bd","1981","458","-66"
"73","Jun  5, 2025 00:34:42.178407585 CEST","14:14:59:5a:be:ec","1792","367","-64"
"78","Jun  5, 2025 00:34:42.228459341 CEST","f2:42:89:7e:73:bd","1982","458","-67"
"79","Jun  5, 2025 00:34:42.280910005 CEST","14:14:59:5a:be:ec","1793","367","-63"
"80","Jun  5, 2025 00:34:42.303038099 CEST","84:a9:c4:77:77:fc","3236","305","-79"
"84","Jun  5, 2025 00:34:42.383199829 CEST","14:14:59:5a:be:ec","1794","367","-63"
"87","Jun  5, 2025 00:34:42.433483038 CEST","f2:42:89:7e:73:bd","1984","458","-66"
"90","Jun  5, 2025 00:34:42.485598115 CEST","14:14:59:5a:be:ec","1795","367","-60"
"92","Jun  5, 2025 00:34:42.588112967 CEST","14:14:59:5a:be:ec","1796","367","-63"
"110","Jun  5, 2025 00:34:42.641151975 CEST","f2:42:89:7e:73:bd","1986","458","-68"
"114","Jun  5, 2025 00:34:42.690420391 CEST","14:14:59:5a:be:ec","1799","367","-59"
"115","Jun  5, 2025 00:34:42.741916674 CEST","f2:42:89:7e:73:bd","1987","458","-68"
"129","Jun  5, 2025 00:34:42.792799681 CEST","14:14:59:5a:be:ec","1800","367","-61"
"143","Jun  5, 2025 00:34:42.845720377 CEST","f2:42:89:7e:73:bd","1988","458","-68"
"148","Jun  5, 2025 00:34:42.895223879 CEST","14:14:59:5a:be:ec","1802","367","-63"
"150","Jun  5, 2025 00:34:42.945487184 CEST","f2:42:89:7e:73:bd","1989","458","-67"
"155","Jun  5, 2025 00:34:42.997616508 CEST","14:14:59:5a:be:ec","1803","367","-60"
"156","Jun  5, 2025 00:34:43.048637242 CEST","f2:42:89:7e:73:bd","1990","458","-68"
"158","Jun  5, 2025 00:34:43.100007671 CEST","14:14:59:5a:be:ec","1804","367","-59"
"159","Jun  5, 2025 00:34:43.202501710 CEST","14:14:59:5a:be:ec","1805","367","-59"
"160","Jun  5, 2025 00:34:43.256586381 CEST","f2:42:89:7e:73:bd","1992","458","-67"
"161","Jun  5, 2025 00:34:43.304790696 CEST","14:14:59:5a:be:ec","1806","367","-60"
"164","Jun  5, 2025 00:34:43.356605595 CEST","f2:42:89:7e:73:bd","1993","458","-67"
"167","Jun  5, 2025 00:34:43.407220970 CEST","14:14:59:5a:be:ec","1807","367","-59"
"170","Jun  5, 2025 00:34:43.457234523 CEST","f2:42:89:7e:73:bd","1994","458","-69"
"171","Jun  5, 2025 00:34:43.509603123 CEST","14:14:59:5a:be:ec","1808","367","-60"
"172","Jun  5, 2025 00:34:43.560913070 CEST","f2:42:89:7e:73:bd","1995","458","-67"
"173","Jun  5, 2025 00:34:43.612006928 CEST","14:14:59:5a:be:ec","1809","367","-62"
"174","Jun  5, 2025 00:34:43.662886792 CEST","f2:42:89:7e:73:bd","1996","458","-67"
"175","Jun  5, 2025 00:34:43.714438668 CEST","14:14:59:5a:be:ec","1810","367","-62"
"176","Jun  5, 2025 00:34:43.768530603 CEST","f2:42:89:7e:73:bd","1997","458","-67"
"177","Jun  5, 2025 00:34:43.812279811 CEST","84:a9:c4:77:77:fe","3283","260","-80"
"178","Jun  5, 2025 00:34:43.816788974 CEST","14:14:59:5a:be:ec","1811","367","-62"
"179","Jun  5, 2025 00:34:43.866843314 CEST","f2:42:89:7e:73:bd","1998","458","-67"
"180","Jun  5, 2025 00:34:43.919266740 CEST","14:14:59:5a:be:ec","1812","367","-61"
"181","Jun  5, 2025 00:34:44.021597561 CEST","14:14:59:5a:be:ec","1813","367","-63"
"190","Jun  5, 2025 00:34:44.073258110 CEST","f2:42:89:7e:73:bd","2000","458","-68"
