frame.number,frame.time,wlan.sa,wlan.seq,frame.len,radiotap.dbm_antsignal
"1","Jun  5, 2025 00:29:51.670048100 CEST","14:14:59:5a:be:ec","2094","367","-50"
"2","Jun  5, 2025 00:29:51.692533641 CEST","d2:2d:06:4a:40:f5","3255","437","-86"
"3","Jun  5, 2025 00:29:51.722993869 CEST","f2:42:89:7e:73:bd","3136","458","-67"
"4","Jun  5, 2025 00:29:51.727438359 CEST","26:59:43:64:4c:4a","1575","453","-86"
"5","Jun  5, 2025 00:29:51.772372355 CEST","14:14:59:5a:be:ec","2095","367","-51"
"6","Jun  5, 2025 00:29:51.794946175 CEST","d2:2d:06:4a:40:f5","3256","437","-85"
"7","Jun  5, 2025 00:29:51.825386149 CEST","f2:42:89:7e:73:bd","3137","458","-67"
"8","Jun  5, 2025 00:29:51.829847331 CEST","26:59:43:64:4c:4a","1576","453","-85"
"9","Jun  5, 2025 00:29:51.874802699 CEST","14:14:59:5a:be:ec","2096","367","-52"
"18","Jun  5, 2025 00:29:51.897338456 CEST","d2:2d:06:4a:40:f5","3257","437","-85"
"19","Jun  5, 2025 00:29:51.927791979 CEST","f2:42:89:7e:73:bd","3138","458","-66"
"20","Jun  5, 2025 00:29:51.932241218 CEST","26:59:43:64:4c:4a","1577","453","-86"
"23","Jun  5, 2025 00:29:51.977224522 CEST","14:14:59:5a:be:ec","2098","367","-51"
"25","Jun  5, 2025 00:29:52.030193129 CEST","f2:42:89:7e:73:bd","3139","458","-67"
"30","Jun  5, 2025 00:29:52.079592498 CEST","14:14:59:5a:be:ec","2099","367","-49"
"39","Jun  5, 2025 00:29:52.102138521 CEST","d2:2d:06:4a:40:f5","3259","437","-84"
"40","Jun  5, 2025 00:29:52.132807505 CEST","f2:42:89:7e:73:bd","3140","458","-66"
"43","Jun  5, 2025 00:29:52.137070827 CEST","26:59:43:64:4c:4a","1579","453","-85"
"46","Jun  5, 2025 00:29:52.181996791 CEST","14:14:59:5a:be:ec","2101","367","-50"
"49","Jun  5, 2025 00:29:52.234993824 CEST","f2:42:89:7e:73:bd","3141","458","-66"
"59","Jun  5, 2025 00:29:52.284387186 CEST","14:14:59:5a:be:ec","2102","367","-49"
"63","Jun  5, 2025 00:29:52.337383241 CEST","f2:42:89:7e:73:bd","3142","458","-66"
"64","Jun  5, 2025 00:29:52.341845261 CEST","26:59:43:64:4c:4a","1581","453","-85"
"65","Jun  5, 2025 00:29:52.386901619 CEST","14:14:59:5a:be:ec","2103","367","-78"
"66","Jun  5, 2025 00:29:52.439789839 CEST","f2:42:89:7e:73:bd","3143","458","-66"
"69","Jun  5, 2025 00:29:52.489205969 CEST","14:14:59:5a:be:ec","2104","367","-51"
"77","Jun  5, 2025 00:29:52.546642882 CEST","26:59:43:64:4c:4a","1583","453","-85"
"80","Jun  5, 2025 00:29:52.591572268 CEST","14:14:59:5a:be:ec","2106","367","-51"
"81","Jun  5, 2025 00:29:52.644575098 CEST","f2:42:89:7e:73:bd","3146","458","-64"
"82","Jun  5, 2025 00:29:52.649143486 CEST","26:59:43:64:4c:4a","1584","453","-84"
"87","Jun  5, 2025 00:29:52.693987038 CEST","14:14:59:5a:be:ec","2107","367","-52"
"88","Jun  5, 2025 00:29:52.746981556 CEST","f2:42:89:7e:73:bd","3147","458","-65"
"89","Jun  5, 2025 00:29:52.796443293 CEST","14:14:59:5a:be:ec","2108","367","-51"
"100","Jun  5, 2025 00:29:52.849382637 CEST","f2:42:89:7e:73:bd","3148","458","-64"
