frame.number,frame.time,wlan.sa,wlan.seq,frame.len,radiotap.dbm_antsignal
"1","Jun 12, 2025 20:57:20.425420794 CEST","f2:42:89:7e:73:bd","1668","458","-62"
"2","Jun 12, 2025 20:57:20.527843665 CEST","f2:42:89:7e:73:bd","1669","458","-61"
"3","Jun 12, 2025 20:57:20.630200187 CEST","f2:42:89:7e:73:bd","1670","458","-62"
"4","Jun 12, 2025 20:57:20.732586811 CEST","f2:42:89:7e:73:bd","1671","458","-61"
"5","Jun 12, 2025 20:57:20.834988589 CEST","f2:42:89:7e:73:bd","1672","458","-61"
"6","Jun 12, 2025 20:57:20.937403289 CEST","f2:42:89:7e:73:bd","1673","458","-62"
"7","Jun 12, 2025 20:57:21.039795919 CEST","f2:42:89:7e:73:bd","1674","458","-62"
"8","Jun 12, 2025 20:57:21.142209710 CEST","f2:42:89:7e:73:bd","1675","458","-62"
"10","Jun 12, 2025 20:57:21.246448943 CEST","f2:42:89:7e:73:bd","1676","458","-60"
"11","Jun 12, 2025 20:57:21.347027306 CEST","f2:42:89:7e:73:bd","1677","458","-66"
"12","Jun 12, 2025 20:57:21.449392767 CEST","f2:42:89:7e:73:bd","1678","458","-65"
"13","Jun 12, 2025 20:57:21.551786165 CEST","f2:42:89:7e:73:bd","1679","458","-66"
"14","Jun 12, 2025 20:57:21.654188433 CEST","f2:42:89:7e:73:bd","1680","458","-64"
"15","Jun 12, 2025 20:57:21.756574428 CEST","f2:42:89:7e:73:bd","1681","458","-64"
"16","Jun 12, 2025 20:57:21.858966220 CEST","f2:42:89:7e:73:bd","1682","458","-66"
"17","Jun 12, 2025 20:57:21.962622976 CEST","f2:42:89:7e:73:bd","1683","458","-62"
"18","Jun 12, 2025 20:57:22.063773060 CEST","f2:42:89:7e:73:bd","1684","458","-60"
"19","Jun 12, 2025 20:57:22.166160801 CEST","f2:42:89:7e:73:bd","1685","458","-63"
