frame.number,frame.time,wlan.sa,wlan.seq,frame.len,radiotap.dbm_antsignal
"1","Jun 12, 2025 21:07:16.129481850 CEST","3a:07:16:cb:a7:f4","3605","384","-69"
"2","Jun 12, 2025 21:07:16.139047522 CEST","40:ee:dd:0e:38:54","2602","305","-68"
"3","Jun 12, 2025 21:07:16.229664841 CEST","3a:07:16:c6:72:54","3288","384","-66"
"4","Jun 12, 2025 21:07:16.239403230 CEST","40:ee:dd:0e:38:54","2603","305","-67"
"5","Jun 12, 2025 21:07:16.259653152 CEST","e6:94:ad:6a:0e:ba","3456","453","-72"
"6","Jun 12, 2025 21:07:16.283810623 CEST","f2:42:89:7e:73:bd","3747","458","-68"
"7","Jun 12, 2025 21:07:16.339719968 CEST","40:ee:dd:0e:38:54","2604","305","-67"
"11","Jun 12, 2025 21:07:16.440102006 CEST","40:ee:dd:0e:38:54","2605","305","-68"
"12","Jun 12, 2025 21:07:16.464661624 CEST","e6:94:ad:6a:0e:ba","3460","453","-74"
"13","Jun 12, 2025 21:07:16.476128725 CEST","3a:07:16:c6:72:54","3290","384","-66"
"16","Jun 12, 2025 21:07:16.544726344 CEST","40:ee:dd:0e:38:54","2606","305","-68"
"17","Jun 12, 2025 21:07:16.566867288 CEST","e6:94:ad:6a:0e:ba","3463","453","-73"
"18","Jun 12, 2025 21:07:16.741163754 CEST","40:ee:dd:0e:38:54","2608","305","-66"
"19","Jun 12, 2025 21:07:16.771642141 CEST","e6:94:ad:6a:0e:ba","3465","453","-72"
"20","Jun 12, 2025 21:07:16.797816489 CEST","f2:42:89:7e:73:bd","3752","458","-69"
"21","Jun 12, 2025 21:07:16.867583811 CEST","3a:07:16:cb:a7:f4","3611","384","-70"
"22","Jun 12, 2025 21:07:16.874050066 CEST","e6:94:ad:6a:0e:ba","3466","453","-72"
"24","Jun 12, 2025 21:07:16.941854638 CEST","40:ee:dd:0e:38:54","2610","305","-69"
"25","Jun 12, 2025 21:07:17.042204341 CEST","40:ee:dd:0e:38:54","2611","305","-67"
"26","Jun 12, 2025 21:07:17.078867662 CEST","e6:94:ad:6a:0e:ba","3468","453","-73"
"27","Jun 12, 2025 21:07:17.089812280 CEST","3a:07:16:c6:72:54","3295","384","-65"
"28","Jun 12, 2025 21:07:17.112532558 CEST","3a:07:16:cb:a7:f4","3613","384","-67"
