frame.number,frame.time,wlan.sa,wlan.seq,frame.len,radiotap.dbm_antsignal
"1","Jun 12, 2025 19:29:47.616315215 CEST","f2:42:89:7e:73:bd","3586","458","-59"
"2","Jun 12, 2025 19:29:47.723556436 CEST","f2:42:89:7e:73:bd","3587","458","-60"
"3","Jun 12, 2025 19:29:47.821036290 CEST","f2:42:89:7e:73:bd","3588","458","-58"
"4","Jun 12, 2025 19:29:47.879141793 CEST","c4:ea:1d:53:75:c3","463","243","-77"
"5","Jun 12, 2025 19:29:47.923434158 CEST","f2:42:89:7e:73:bd","3589","458","-60"
"6","Jun 12, 2025 19:29:48.026513816 CEST","f2:42:89:7e:73:bd","3590","458","-59"
"7","Jun 12, 2025 19:29:48.128487189 CEST","f2:42:89:7e:73:bd","3591","458","-60"
"8","Jun 12, 2025 19:29:48.237970105 CEST","f2:42:89:7e:73:bd","3592","458","-60"
"9","Jun 12, 2025 19:29:48.333990626 CEST","f2:42:89:7e:73:bd","3593","458","-59"
"10","Jun 12, 2025 19:29:48.435461351 CEST","f2:42:89:7e:73:bd","3594","458","-59"
"11","Jun 12, 2025 19:29:48.537829047 CEST","f2:42:89:7e:73:bd","3595","458","-59"
"13","Jun 12, 2025 19:29:48.640250940 CEST","f2:42:89:7e:73:bd","3596","458","-59"
"14","Jun 12, 2025 19:29:48.742641125 CEST","f2:42:89:7e:73:bd","3597","458","-61"
"15","Jun 12, 2025 19:29:48.802404381 CEST","c4:ea:1d:53:75:c3","472","243","-84"
"16","Jun 12, 2025 19:29:48.845009590 CEST","f2:42:89:7e:73:bd","3598","458","-61"
"17","Jun 12, 2025 19:29:48.903163004 CEST","c4:ea:1d:53:75:c3","473","243","-83"
"19","Jun 12, 2025 19:29:48.947418213 CEST","f2:42:89:7e:73:bd","3600","458","-61"
"21","Jun 12, 2025 19:29:49.005700625 CEST","c4:ea:1d:53:75:c3","474","243","-75"
"22","Jun 12, 2025 19:29:49.049816500 CEST","f2:42:89:7e:73:bd","3602","458","-59"
"23","Jun 12, 2025 19:29:49.152226241 CEST","f2:42:89:7e:73:bd","3603","458","-59"
"24","Jun 12, 2025 19:29:49.208335261 CEST","c4:ea:1d:53:75:c3","476","243","-82"
"25","Jun 12, 2025 19:29:49.254612166 CEST","f2:42:89:7e:73:bd","3604","458","-59"
"26","Jun 12, 2025 19:29:49.357017297 CEST","f2:42:89:7e:73:bd","3605","458","-59"
"27","Jun 12, 2025 19:29:49.459422219 CEST","f2:42:89:7e:73:bd","3606","458","-59"
"28","Jun 12, 2025 19:29:49.562639464 CEST","f2:42:89:7e:73:bd","3607","458","-59"
"29","Jun 12, 2025 19:29:49.664228151 CEST","f2:42:89:7e:73:bd","3608","458","-60"
"30","Jun 12, 2025 19:29:49.720810416 CEST","c4:ea:1d:53:75:c3","481","243","-74"
"32","Jun 12, 2025 19:29:49.766605067 CEST","f2:42:89:7e:73:bd","3609","458","-60"
"35","Jun 12, 2025 19:29:49.869025842 CEST","f2:42:89:7e:73:bd","3610","459","-59"
"36","Jun 12, 2025 19:29:49.972489488 CEST","f2:42:89:7e:73:bd","3611","458","-60"
