frame.number,frame.time,wlan.sa,wlan.seq,frame.len,radiotap.dbm_antsignal
5,"Jun 12, 2025 21:11:32.590368468 CEST",f2:42:89:7e:73:bd,2495,458,-71
33,"Jun 12, 2025 21:11:33.102749407 CEST",f2:42:89:7e:73:bd,2500,458,-71
38,"Jun 12, 2025 21:11:33.204774951 CEST",f2:42:89:7e:73:bd,2501,458,-71
62,"Jun 12, 2025 21:11:34.021492426 CEST",f2:42:89:7e:73:bd,2509,458,-72
65,"Jun 12, 2025 21:11:34.123889036 CEST",f2:42:89:7e:73:bd,2510,458,-72
87,"Jun 12, 2025 21:11:34.943787712 CEST",f2:42:89:7e:73:bd,2519,458,-74
94,"Jun 12, 2025 21:11:35.250277106 CEST",f2:42:89:7e:73:bd,2522,458,-75
99,"Jun 12, 2025 21:11:35.455074448 CEST",f2:42:89:7e:73:bd,2524,458,-74
115,"Jun 12, 2025 21:11:36.382091494 CEST",f2:42:89:7e:73:bd,2536,458,-71
117,"Jun 12, 2025 21:11:36.479059271 CEST",f2:42:89:7e:73:bd,2537,458,-72
120,"Jun 12, 2025 21:11:36.581471736 CEST",f2:42:89:7e:73:bd,2538,458,-73
123,"Jun 12, 2025 21:11:36.684126969 CEST",f2:42:89:7e:73:bd,2539,458,-72
125,"Jun 12, 2025 21:11:36.788798450 CEST",f2:42:89:7e:73:bd,2540,458,-72
143,"Jun 12, 2025 21:11:37.403211358 CEST",f2:42:89:7e:73:bd,2550,458,-71
154,"Jun 12, 2025 21:11:37.812833210 CEST",f2:42:89:7e:73:bd,2554,458,-71
165,"Jun 12, 2025 21:11:38.425480461 CEST",f2:42:89:7e:73:bd,2562,458,-71
205,"Jun 12, 2025 21:11:39.960623233 CEST",f2:42:89:7e:73:bd,2577,458,-69
208,"Jun 12, 2025 21:11:40.067195933 CEST",f2:42:89:7e:73:bd,2578,458,-68
213,"Jun 12, 2025 21:11:40.267817814 CEST",f2:42:89:7e:73:bd,2580,458,-71
227,"Jun 12, 2025 21:11:41.087010604 CEST",f2:42:89:7e:73:bd,2588,458,-72
236,"Jun 12, 2025 21:11:41.395586576 CEST",f2:42:89:7e:73:bd,2592,459,-70
264,"Jun 12, 2025 21:11:42.622989097 CEST",f2:42:89:7e:73:bd,2604,458,-72
273,"Jun 12, 2025 21:11:42.827793213 CEST",f2:42:89:7e:73:bd,2608,459,-72
281,"Jun 12, 2025 21:11:43.035126143 CEST",f2:42:89:7e:73:bd,2613,458,-71
287,"Jun 12, 2025 21:11:43.237388176 CEST",f2:42:89:7e:73:bd,2618,458,-73
290,"Jun 12, 2025 21:11:43.342408375 CEST",f2:42:89:7e:73:bd,2621,459,-71
295,"Jun 12, 2025 21:11:43.547218707 CEST",f2:42:89:7e:73:bd,2623,458,-70
308,"Jun 12, 2025 21:11:44.056721906 CEST",f2:42:89:7e:73:bd,2628,458,-70
312,"Jun 12, 2025 21:11:44.159127526 CEST",f2:42:89:7e:73:bd,2629,458,-70
315,"Jun 12, 2025 21:11:44.264000359 CEST",f2:42:89:7e:73:bd,2630,458,-68
318,"Jun 12, 2025 21:11:44.365256113 CEST",f2:42:89:7e:73:bd,2631,458,-70
347,"Jun 12, 2025 21:11:45.387760092 CEST",f2:42:89:7e:73:bd,2641,458,-72
385,"Jun 12, 2025 21:11:47.335259631 CEST",f2:42:89:7e:73:bd,2662,458,-70
387,"Jun 12, 2025 21:11:47.437605187 CEST",f2:42:89:7e:73:bd,2663,458,-70
391,"Jun 12, 2025 21:11:47.538130471 CEST",f2:42:89:7e:73:bd,2664,458,-71
399,"Jun 12, 2025 21:11:47.947822513 CEST",f2:42:89:7e:73:bd,2668,458,-70
419,"Jun 12, 2025 21:11:48.664529296 CEST",f2:42:89:7e:73:bd,2676,458,-70
441,"Jun 12, 2025 21:11:49.179254737 CEST",f2:42:89:7e:73:bd,2681,458,-70
443,"Jun 12, 2025 21:11:49.281646039 CEST",f2:42:89:7e:73:bd,2682,458,-70
446,"Jun 12, 2025 21:11:49.384272079 CEST",f2:42:89:7e:73:bd,2683,458,-70
452,"Jun 12, 2025 21:11:49.586139299 CEST",f2:42:89:7e:73:bd,2685,458,-71
457,"Jun 12, 2025 21:11:49.793665131 CEST",f2:42:89:7e:73:bd,2687,458,-70
464,"Jun 12, 2025 21:11:49.996915209 CEST",f2:42:89:7e:73:bd,2689,458,-72
523,"Jun 12, 2025 21:11:52.350870205 CEST",f2:42:89:7e:73:bd,2716,458,-71
527,"Jun 12, 2025 21:11:52.453517965 CEST",f2:42:89:7e:73:bd,2717,458,-71
533,"Jun 12, 2025 21:11:52.658918107 CEST",f2:42:89:7e:73:bd,2719,458,-71
543,"Jun 12, 2025 21:11:52.965885006 CEST",f2:42:89:7e:73:bd,2722,458,-69
558,"Jun 12, 2025 21:11:53.170064532 CEST",f2:42:89:7e:73:bd,2724,458,-71
564,"Jun 12, 2025 21:11:53.272474063 CEST",f2:42:89:7e:73:bd,2725,458,-71
575,"Jun 12, 2025 21:11:53.682350556 CEST",f2:42:89:7e:73:bd,2729,458,-69
597,"Jun 12, 2025 21:11:54.194051800 CEST",f2:42:89:7e:73:bd,2742,458,-70
601,"Jun 12, 2025 21:11:54.296442753 CEST",f2:42:89:7e:73:bd,2743,458,-71
628,"Jun 12, 2025 21:11:55.323367197 CEST",f2:42:89:7e:73:bd,2755,458,-70
632,"Jun 12, 2025 21:11:55.422839693 CEST",f2:42:89:7e:73:bd,2756,458,-70
653,"Jun 12, 2025 21:11:56.040071186 CEST",f2:42:89:7e:73:bd,2762,459,-69
676,"Jun 12, 2025 21:11:56.958827055 CEST",f2:42:89:7e:73:bd,2771,458,-71
684,"Jun 12, 2025 21:11:57.166478042 CEST",f2:42:89:7e:73:bd,2773,458,-71
690,"Jun 12, 2025 21:11:57.470815766 CEST",f2:42:89:7e:73:bd,2776,458,-70
717,"Jun 12, 2025 21:11:58.801996498 CEST",f2:42:89:7e:73:bd,2793,458,-70
723,"Jun 12, 2025 21:11:59.109202742 CEST",f2:42:89:7e:73:bd,2796,458,-69
729,"Jun 12, 2025 21:11:59.211601378 CEST",f2:42:89:7e:73:bd,2797,458,-69
741,"Jun 12, 2025 21:11:59.518793235 CEST",f2:42:89:7e:73:bd,2800,459,-68
745,"Jun 12, 2025 21:11:59.621187332 CEST",f2:42:89:7e:73:bd,2801,458,-69
748,"Jun 12, 2025 21:11:59.723582406 CEST",f2:42:89:7e:73:bd,2803,458,-69
761,"Jun 12, 2025 21:12:00.440390528 CEST",f2:42:89:7e:73:bd,2811,458,-71
766,"Jun 12, 2025 21:12:00.747570792 CEST",f2:42:89:7e:73:bd,2814,458,-70
769,"Jun 12, 2025 21:12:00.952363734 CEST",f2:42:89:7e:73:bd,2816,458,-71
778,"Jun 12, 2025 21:12:01.361966240 CEST",f2:42:89:7e:73:bd,2820,458,-72
783,"Jun 12, 2025 21:12:01.566782788 CEST",f2:42:89:7e:73:bd,2823,458,-70
814,"Jun 12, 2025 21:12:02.897948294 CEST",f2:42:89:7e:73:bd,2843,458,-69
819,"Jun 12, 2025 21:12:03.102766868 CEST",f2:42:89:7e:73:bd,2845,458,-69
860,"Jun 12, 2025 21:12:04.433930838 CEST",f2:42:89:7e:73:bd,2859,458,-70
868,"Jun 12, 2025 21:12:04.536293226 CEST",f2:42:89:7e:73:bd,2860,458,-69
875,"Jun 12, 2025 21:12:04.741125838 CEST",f2:42:89:7e:73:bd,2862,458,-69
880,"Jun 12, 2025 21:12:04.843524334 CEST",f2:42:89:7e:73:bd,2863,458,-70
900,"Jun 12, 2025 21:12:05.048320699 CEST",f2:42:89:7e:73:bd,2866,458,-69
928,"Jun 12, 2025 21:12:05.969920855 CEST",f2:42:89:7e:73:bd,2878,459,-71
931,"Jun 12, 2025 21:12:06.072443668 CEST",f2:42:89:7e:73:bd,2879,458,-69
935,"Jun 12, 2025 21:12:06.174709396 CEST",f2:42:89:7e:73:bd,2880,458,-71
938,"Jun 12, 2025 21:12:06.277107544 CEST",f2:42:89:7e:73:bd,2881,458,-69
951,"Jun 12, 2025 21:12:06.584339560 CEST",f2:42:89:7e:73:bd,2884,458,-69
975,"Jun 12, 2025 21:12:06.789104635 CEST",f2:42:89:7e:73:bd,2886,458,-68
998,"Jun 12, 2025 21:12:07.506197919 CEST",f2:42:89:7e:73:bd,2893,458,-66
1003,"Jun 12, 2025 21:12:07.710714569 CEST",f2:42:89:7e:73:bd,2895,458,-68
1020,"Jun 12, 2025 21:12:08.328716970 CEST",f2:42:89:7e:73:bd,2911,458,-69
1032,"Jun 12, 2025 21:12:08.837460295 CEST",f2:42:89:7e:73:bd,2916,458,-69
1052,"Jun 12, 2025 21:12:09.656335098 CEST",f2:42:89:7e:73:bd,2925,458,-69
1089,"Jun 12, 2025 21:12:11.601855474 CEST",f2:42:89:7e:73:bd,2948,458,-69
1175,"Jun 12, 2025 21:12:13.957022078 CEST",f2:42:89:7e:73:bd,2972,458,-69
1187,"Jun 12, 2025 21:12:14.161815020 CEST",f2:42:89:7e:73:bd,2974,458,-70
1204,"Jun 12, 2025 21:12:14.673805196 CEST",f2:42:89:7e:73:bd,2980,458,-70
1221,"Jun 12, 2025 21:12:14.981000965 CEST",f2:42:89:7e:73:bd,2983,458,-69
